This	June 27, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	23
""			
2	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	3	7
""			
3	BLESS THIS HOUSE, by Norah Lofts.	2	12
""			
4	THE DOLLMAKER, by Harriette Arnow.	5	7
""			
5	AWAY ALL BOATS, by Kenneth Dodson.	4	15
""			
6	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	6	3
""			
7	THE SONG OF RUTH, by Frank G. Slaughter.	7	8
""			
8	SWEET THURSDAY, by John Steinbeck.	--	1
""			
9	MARY ANNE, by Daphne du Maurier.	11	2
""			
10	THE ROYAL BOX, by Frances Parkinson Keyes.	--	1
""			
11	MR. HOBBS' VACATION, by Edward Streeter.	12	3
""			
12	BHOWANI JUNCTION, by John Masters.	10	11
""			
13	THE NIGHT OF THE HUNTER, by Davis Grubb.	9	16
""			
14	SAYONARA, by James A. Michener.	13	20
""			
15	THE SPIDER KING, by Lawrence Schoonover.	15	11
""			
16	THE GIPSY IN THE PARLOUR, by Margery Sharp.	8	8
This	June 27, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	86
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	17
""			
3	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	3	15
""			
4	MINUTES OF THE LAST MEETING, by Gene Fowler.	4	10
""			
5	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	5	14
""			
6	SECOND TREE FROM THE CORNER, by E.B. White.	7	21
""			
7	THE REASON WHY, by Cecil Woodham-Smith.	6	6
""			
8	CELL 2455 DEATH ROW, by Caryl Chessman.	10	5
""			
9	I'LL CRY TOMORROW, by Lillian Roth.	13	3
""			
10	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	9	11
""			
11	THE TAFT STORY, by William S. White.	12	9
""			
12	SEVEN YEARS IN TIBET, by Heinrich Harrer.	11	14
""			
13	THE MAN WHO NEVER WAS, by Ewen Montagu.	--	18
""			
14	THE JOURNEY, by Lillian Smith.	14	6
""			
15	FINAL SECRET OF PEARL HARBOR, by Rear Admiral Robert A. Theobald.	8	7
""			
16	MADAME DE POMPADOUR, by Nancy Mitford.	--	1
