This	August 10, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	69
""			
2	THE HOUSES IN BETWEEN, by Howard Spring.	2	13
""			
3	MATADOR, by Barnaby Conrad.	3	5
""			
4	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	5	19
""			
5	MY COUSIN RACHEL, by Daphne du Maurier.	4	26
""			
6	THE SILVER CHALICE, by Thomas B. Costain.	14	2
""			
7	THE SARACEN BLADE, by Frank Yerby.	8	16
""			
8	THE HIDDEN FLOWER, by Pearl S. Buck.	6	10
""			
9	THE CRUEL SEA, by Nicholas Monsarrat.	7	52
""			
10	THE ALEXANDRIANS, by Charles Mills.	10	8
""			
11	THE GOLDEN HAND, by Edith Simon.	9	13
""			
12	CATHERINE CARTER, by Pamela Hansford Johnson.	--	1
""			
13	SCALPEL, by Horace McCoy.	15	4
""			
14	THE SHINING TIDES, by Win Brooks.	11	2
""			
15	WINDOM'S WAY, by James Ramsey Ullman.	--	8
""			
16	THE DEVIL'S ADVOCATE, by Taylor Caldwell.	12	13
This	August 10, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	WITNESS, by Whittaker Chambers.	1	11
""			
2	THE SEA AROUND US, by Rachel Carson.	2	56
""			
3	A MAN CALLED PETER, by Catherine Marshall.	3	42
""			
4	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	4	6
""			
5	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	5	11
""			
6	THE THURBER ALBUM, by James Thurber.	6	8
""			
7	SUBMARINE, by Edward L. Beach.	7	4
""			
8	U.S.A. CONFIDENTIAL, by Jack Lait and Lee Mortimer.	8	21
""			
9	JOURNEY TO THE FAR PACIFIC, by Thomas E. Dewey.	10	2
""			
10	UNDER THE SEA-WIND, by Rachel Carson.	9	16
""			
11	POSTMARKED MOSCOW, by Lydia Kirk.	--	1
""			
12	WINSTON CHURCHILL, by Robert Lewis Taylor.	15	6
""			
13	THE MEMOIRS OF HERBERT HOOVER, Vol. 2, by Herbert Hoover.	12	13
""			
14	IN ONE EAR, by Eric Severeid.	--	1
""			
15	GIVE THE LADY WHAT SHE WANTS, by Lloyd Wendt and Herman Kogan.	14	9
""			
16	ADVENTURES IN TWO WORLDS, by A.J. Cronin.	11	22
