This	February 1, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	EAST OF EDEN, by John Steinbeck.	2	18
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	1	27
""			
3	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	3	10
""			
4	GIANT, by Edna Ferber.	4	17
""			
5	THE CAINE MUTINY, by Herman Wouk.	5	94
""			
6	THE SOJOURNER, by Marjorie Kinnan Rawlings.	8	3
""			
7	THE OLD MAN AND THE SEA, by Ernest Hemingway.	7	21
""			
8	THE WONDERFUL COUNTRY, by Tom Lea.	6	10
""			
9	THE VELVET DOUBLET, by James Street.	15	2
""			
10	DESIREE, by Annemarie Selinko.	--	1
""			
11	EXECUTIVE SUITE, by Cameron Hawley.	12	5
""			
12	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	11	23
""			
13	THE GALILEANS, by Frank G. Slaughter.	--	1
""			
14	QUEEN'S GIFT, by Inglis Clark Fletcher.	9	13
""			
15	THE MAN ON A DONKEY, by H.F.M. Prescott.	--	12
""			
16	THE MAGIC LANTERN, by Robert Carson.	--	4
This	February 1, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	16
""			
2	HOLY BIBLE: REVISED STANDARD VERSION.	3	16
""			
3	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	4	13
""			
4	A MAN CALLED PETER, by Catherine Marshall.	2	67
""			
5	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	7	2
""			
6	THE LAST RESORTS, by Cleveland Amory.	6	10
""			
7	THIS I BELIEVE, by Edward R. Murrow.	9	7
""			
8	ABRAHAM LINCOLN, by Benjamin P. Thomas.	5	10
""			
9	THE BIG CHANGE, by Frederick Lewis Allen.	8	11
""			
10	A MANY-SPLENDORED THING, by Han Suyin.	15	5
""			
11	ANNAPURNA, by Maurice Herzog.	14	2
""			
12	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	11	18
""			
13	HUNTER, by John A. Hunter.	--	5
""			
14	THE CROSS AND THE CROWN, by Norman Beasley.	16	6
""			
15	BEYOND THE HIMALAYAS, by William O. Douglas.	12	15
""			
16	MAN'S SEARCH FOR HIMSELF, by Rollo May.	--	1
