This		July 5, 1953	Last	Week
Week		Fiction	Week	On Li
""				
1	DESIREE, by Annemarie Selinko.		1	23
""				
2	BATTLE CRY, by Leon Uris.		2	8
""				
3	THE DARK ANGEL, by Mika Waltari.		4	3
""				
4	THE SILVER CHALICE, by Thomas B. Costain.		3	49
""				
5	THE HIGH AND THE MIGHTY, by Ernest K. Gann.		6	9
""				
6	KINGFISHERS CATCH FIRE, by Rumer Godden.		9	4
""				
7	GOLDEN ADMIRAL, by Francis Van Wyck Mason.		7	18
""				
8	THE ECHOING GROVE, by Rosamond Lehmann.		5	6
""				
9	THE EMPEROR'S LADY, by F.W. Kenyon.		10	3
""				
10	KISS ME AGAIN, STRANGER, by Daphne du Maurier.		8	15
""				
11	HOTEL TALLYRAND, by Paul Hyde Bonner.		12	11
""				
12	THE CAINE MUTINY, by Herman Wouk.		15	116
""				
13	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.		16	32
""				
14	NINE STORIES, by J.D. Salinger.		14	11
""				
15	IN THE WET, by Nevil Shute.		13	6
""				
16	PRINCE BART, by Jay Richard Kennedy.		--	13
This	July 5, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	35
""			
2	ANNAPURNA, by Maurice Herzog.	2	24
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	4	20
""			
4	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	7	8
""			
5	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	3	11
""			
6	HOLY BIBLE: REVISED STANDARD VERSION.	5	38
""			
7	NORTH FROM MALAYA, by William O. Douglas.	8	3
""			
8	A HOUSE IS NOT A HOME, by Polly Adler.	9	3
""			
9	THE ROMMEL PAPERS, by B.H. Liddell Hart.	6	5
""			
10	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	11	10
""			
11	THIS I BELIEVE, by Edward R. Murrow.	13	29
""			
12	A MAN CALLED PETER, by Catherine Marshall.	12	89
""			
13	ANGEL UNAWARE, by Dale Evans Rogers.	15	10
""			
14	UNCLE POGO SO-SO STORIES, by Walt Kelly.	10	5
""			
15	THE WORLD AND THE WEST, by Arnold Toynbee.	14	13
""			
16	PEOPLE, PLACES, AND BOOKS, by Gilbert Highet.	--	4
