This	June 21, 1959	Last	Weeks
Week	Fiction	Week	On List
""			
1	EXODUS, by Leon Uris. (Doubleday.)	1	37
""			
2	DOCTOR ZHIVAGO, by Boris Pasternak. (Random House Inc.)	2	39
""			
""	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick. (W.W. Norton		
3		3	35
""	and Company.)		
""			
""	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell. (Doubleday and		
4		4	12
""	Company.)		
""			
5	LADY CHATTERLY'S LOVER, by D.H. Lawrence. (Random House.)	5	6
""			
6	LOLITA, by Vladimir Nabokov. (G.P. Putnam's Sons.)	6	43
""			
7	MRS. ARRIS GOES TO PARIS, by Paul Gallico. (Doubleday and Company, Inc.)	7	26
""			
8	CELIA GARTH, by Gwen Bristow. (Thomas Crowell Co.)	9	5
""			
9	NINE COACHES WAITING, by Mary Stewart. (M.S. Mill/William Morrow.)	8	17
""			
10	THE CHINESE BOX, by Katherine Wigmore Eyre. (Appleton-Century-crofts, Inc.)	10	6
""			
11	THE HOURGLASS, by Edwin Gilbert. (J. B. Lippincott Company.)	11	8
""			
""	THE WATCH THAT ENDS THE NIGHT, by Hugh MacLennan. (Charles Scribner's		
12		16	15
""	Sons.)		
""			
13	SPINSTER, by Sylvia Ashton-Warner. (Simon and Schuster.)	--	8
""			
14	THE THIRD CHOICE, by Elizabeth Janeway. (Doubleday.)	13	2
""			
15	THE LIGHT INFANTRY BALL, by Hamilton Basso. (Doubleday.)	--	1
""			
16	COMMAND THE MORNING, by Pearl S. Buck. (John Day Co.)	--	2
This	June 21, 1959	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE STATUS SEEKERS, by Vance Packard. (David McKay.)	1	6
""			
2	MINE ENEMY GROWS OLDER, by Alexander King. (Simon and Schuster.)	2	19
""			
3	ONLY IN AMERICA, by Harry Lewis Golden. (World Publishing Co.)	3	47
""			
""	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE		
4		4	10
""	TIME, by William Nickerson. (Simon and Schuster.)		
""			
5	THE YEARS WITH ROSS, by James Thurber. ( Little, Brown and Company.)	10	2
""			
""	WHAT WE MUST KNOW ABOUT COMMUNISM, by Harry and Bonaro		
6		5	19
""	Overstreet. (W.W. Norton and Co, Inc.)		
""			
7	MY BROTHER WAS AN ONLY CHILD, by Jack Douglas. (E.P. Dutton and Co.)	6	9
""			
8	ELIZABETH THE GREAT, by Elizabeth Jenkins. (Coward McCann.)	7	14
""			
9	TWIXT TWELVE AND TWENTY, by Pat Boone. (Prentice-Hall, Inc.)	9	26
""			
10	COLLISION COURSE, by Alvin Moscow. (G.P. Putnam's Sons.)	11	12
""			
11	FOLK MEDICINE, by Deforest Clinton Jarvis. (Henry Holt and Company, Inc.)	13	10
""			
12	THE HOUSE OF INTELLECT, by Jacques Barzun. (Harper and Brothers.)	8	3
""			
""	CHARLEY WEAVER'S LETTERS FROM MAMMA, by Cliff Arquette. (John C.		
13		15	5
""	Winston Company.)		
""			
""	THE DRESS DOCTOR, by Edith Head and Jane Kesner Ardmore. (Little, Brown		
14		12	10
""	and Company.)		
""			
""	THE LITTLE WORLD OF STANTON DELAPLANE, by Stanton Delaplane.		
15		--	1
""	(Coward-McCann.)		
""			
16	DU BARRY, by Stanley Loomis. (J. B. Lippincott Co.)	16	6
