This	June 10, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	1	14
""			
2	THE CAINE MUTINY, by Herman Wouk.	2	8
""			
3	PROUD NEW FLAGS, by F. Van Wyck Mason.	3	6
""			
4	RETURN TO PARADISE, by James A. Michener.	4	6
""			
5	A WOMAN CALLED FANCY, by Frank Yerby.	6	3
""			
6	JOY STREET, by Frances Parkinson Keyes.	5	27
""			
7	FESTIVAL, by J.B. Priestley.	7	8
""			
8	THIS IS THE HOUR, by Lion Feuchtwanger.	--	1
""			
9	THE DISENCHANTED, by Budd Schulberg.	9	32
""			
10	GOD'S MEN, by Pearl S. Buck.	8	7
""			
11	MOULIN ROUGE, by Pierre La Mure.	16	12
""			
12	OLD HERBACEOUS, by Reginald Arkell.	12	14
""			
13	THE FOUNDLING, by Francis Cardinal Spellman.	--	1
""			
14	NEW YORK 22, by Ilka Chase.	10	11
""			
15	THE SOUTHWEST CORNER, by Mildred Walker.	--	1
""			
16	THE PEDLOCKS, by Stephen Longstreet.	--	1
This	June 10, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	1	13
""			
2	A KING'S STORY, by Edward Windsor, Duke of Windsor.	2	7
""			
3	KON-TIKI, by Thor Heyerdahl.	3	39
""			
4	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.	4	12
""			
5	BETTER HOMES AND GARDENS GARDEN BOOK, by Fleeta Brownell	5	8
""	Woodroffe.		
""			
6	THE PEACE CAN BE WON, by Paul G. Hoffman.	8	5
""			
7	THE RIDDLE OF MACARTHUR, by John Gunther.	7	14
""			
8	THE CHINA STORY, by Freda Utley.	15	2
""			
9	WE BARRYMORES, by Lionel Barrymore and Cameron Shipp.	13	2
""			
10	DOMINATIONS AND POWERS, by George Santayana.	11	3
""			
11	MARY'S GARDEN STORY, by Mary Garden and Louis Biancolli.	9	5
""			
12	ROMMEL, THE DESERT FOX, by Desmond Young.	6	19
""			
13	MY SIX CONVICTS, by Donald Powell Wilson.	12	17
""			
14	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	14	61
""			
15	WAR IN KOREA, by Marguerite Higgins.	16	5
""			
16	COMMUNISM, DEMOCRACY, AND CATHOLIC POWER, by Paul Blanshard.	--	1
