This	December 6, 1959	Last	Weeks
Week	Fiction	Week	On List
""			
1	ADVISE AND CONSENT, by Allen Drury. (Doubleday and Company.)	1	17
""			
2	EXODUS, by Leon Uris. (Doubleday.)	3	61
""			
3	POOR NO MORE, by Robert Ruark. (Henry Holt and Company.)	7	4
""			
4	THE WAR LOVER, by John Hersey. (Alfred A. Knopf.)	2	7
""			
""	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell. (Doubleday and		
5		5	36
""	Company.)		
""			
6	THE DARKNESS AND THE DAWN, by Thomas B. Costain. (Doubleday.)	4	6
""			
""	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick. (W.W. Norton		
7		6	59
""	and Company.)		
""			
8	HAWAII, by James A. Michener. (Random House.)	8	3
""			
9	THE DEVIL'S ADVOCATE, by Morris L. West. (William Morrow.)	9	10
""			
10	THE MANSION, by William Faulkner. (Random House.)	15	2
""			
11	THE CAVE, by Robert Penn Warren. (Random House.)	11	13
""			
""	STATION WAGON IN SPAIN, by Frances Parkinson Keyes. (Farrar, Straus and		
12		12	7
""	Co.)		
""			
13	THE THIRTEENTH APOSTLE, by Eugene Vale. (Charles Scribner's Sons.)	10	13
""			
14	TOO MANY GHOSTS, by Paul Gallico. (Doubleday.)	14	2
""			
15	EVA, by Meyer Levin. (Simon and Schuster.)	--	10
""			
16	A FEVER IN THE BLOOD, by William Pearson. (St Martin's Press.)	--	1
This	December 6, 1959	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ACT ONE, by Moss Hart. (Random House.)	1	10
""			
2	THIS IS MY GOD, by Herman Wouk. (Doubleday and Co.)	2	9
""			
3	FOLK MEDICINE, by Deforest Clinton Jarvis. (Henry Holt and Company, Inc.)	3	34
""			
4	THE STATUS SEEKERS, by Vance Packard. (David McKay.)	4	30
""			
5	FOR 2C PLAIN, by Harry Golden. (World Publishing.)	5	21
""			
6	THE ARMADA, by Garrett Mattingly. (Houghton Mifflin.)	6	5
""			
""	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White. (Macmillan		
7		7	19
""	Company.)		
""			
""	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE		
8		8	34
""	TIME, by William Nickerson. (Simon and Schuster.)		
""			
9	GROUCHO AND ME, by Groucho Marx. (Bernard Geis Associates.)	9	10
""			
10	THE APE IN ME, by Cornelia Otis Skinner. (Houghton Mifflin.)	10	8
""			
11	DIPLOMAT, by Charles Wheeler Thayer. (Harper and Brothers.)	11	4
""			
12	ADVENTUROUS ALLIANCE, by Louise Hall Tharp. (Little, Brown and Company.)	--	1
""			
13	CANDIDATES 1960, by Eric Sevareid. (Basic Books, Inc.)	--	4
""			
""	AFFECTIONATELY, F.D.R., by James Roosevelt and Sidney Shalett. (Harcourt,		
14		13	5
""	Brace and Company.)		
""			
""	GENTLEMEN, SCHOLARS AND SCOUNDRELS, by Horace Knowles. (Harper		
15		--	3
""	and Brothers.)		
""			
""	THE AMAZING RESULTS OF POSITIVE THINKING, by Norman Vincent Peale.		
16		--	1
""	(Prentice-Hall.)		
