This	May 3, 1959	Last	Weeks
Week	Fiction	Week	On List
""			
1	DOCTOR ZHIVAGO, by Boris Pasternak. (Random House Inc.)	1	32
""			
2	EXODUS, by Leon Uris. (Doubleday.)	2	30
""			
""	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick. (W.W. Norton		
3		3	28
""	and Company.)		
""			
4	LOLITA, by Vladimir Nabokov. (G.P. Putnam's Sons.)	4	36
""			
""	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell. (Doubleday and		
""	Company.)		
""			
6	FROM THE TERRACE, by John O'Hara. (Random House.)	6	22
""			
7	MRS. ARRIS GOES TO PARIS, by Paul Gallico. (Doubleday and Company, Inc.)	7	19
""			
8	THE DEVIL IN BUCKS COUNTY, by Edmund Schiddel. (Simon and Schuster.)	8	11
""			
9	NINE COACHES WAITING, by Mary Stewart. (M.S. Mill/William Morrow.)	9	10
""			
""	THE WATCH THAT ENDS THE NIGHT, by Hugh MacLennan. (Charles Scribner's		
10		11	8
""	Sons.)		
""			
11	PIONEER, GO HOME!, by Richard Powell. (Charles Scribner's Sons.)	15	5
""			
12	LADY L., by Romain Gary. (Simon and Schuster.)	12	15
""			
13	MOUNTOLIVE, by Lawrence Durrell. (E. P. Dutton and Co.)	14	3
""			
14	SPINSTER, by Sylvia Ashton-Warner. (Simon and Schuster.)	--	3
""			
15	THE MIDDLE AGE OF MRS. ELIOT, by Angus Wilson. (Viking Press.)	13	3
""			
16	THE HOURGLASS, by Edwin Gilbert. (J. B. Lippincott Company.)	16	2
This	May 3, 1959	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MINE ENEMY GROWS OLDER, by Alexander King. (Simon and Schuster.)	1	12
""			
2	ONLY IN AMERICA, by Harry Lewis Golden. (World Publishing Co.)	2	40
""			
""	WHAT WE MUST KNOW ABOUT COMMUNISM, by Harry and Bonaro		
3		3	12
""	Overstreet. (W.W. Norton and Co, Inc.)		
""			
4	TWIXT TWELVE AND TWENTY, by Pat Boone. (Prentice-Hall, Inc.)	4	19
""			
5	ELIZABETH THE GREAT, by Elizabeth Jenkins. (Coward McCann.)	5	7
""			
6	COLLISION COURSE, by Alvin Moscow. (G.P. Putnam's Sons.)	6	5
""			
""	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE		
7		8	3
""	TIME, by William Nickerson. (Simon and Schuster.)		
""			
8	BROTHERHOOD OF EVIL, by Frederic Sondern. (Farrar, Straus, and Cudahy.)	9	7
""			
""	EAT WELL AND STAY WELL, by Ancel and Margaret Keys. (Doubleday and		
9		--	1
""	Company.)		
""			
10	FRIENDS AND ENEMIES, by Adlai E. Stevenson. (Harper and Brothers.)	10	4
""			
11	THE AMERICAN HIGH SCHOOL TODAY, by James B. Conant. (McGraw-Hill.)	7	10
""			
""	THE DRESS DOCTOR, by Edith Head and Jane Kesner Ardmore. (Little, Brown		
12		13	3
""	and Company.)		
""			
13	I REMEMBER, by Boris Pasternak. (Pantheon.)	16	2
""			
14	FOLK MEDICINE, by Deforest Clinton Jarvis. (Henry Holt and Company, Inc.)	14	3
""			
15	MY BROTHER WAS AN ONLY CHILD, by Jack Douglas. (E.P. Dutton and Co.)	12	2
""			
16	NAUTILUS 90 NORTH, by William R. Anderson. (World Publishing Company.)	11	16
