This	July 26, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	26
""			
2	BATTLE CRY, by Leon Uris.	2	11
""			
3	THE DARK ANGEL, by Mika Waltari.	3	6
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	12
""			
5	KINGFISHERS CATCH FIRE, by Rumer Godden.	7	7
""			
6	THE EMPEROR'S LADY, by F.W. Kenyon.	6	6
""			
7	THE SILVER CHALICE, by Thomas B. Costain.	5	52
""			
8	THE ECHOING GROVE, by Rosamond Lehmann.	8	9
""			
9	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	10	18
""			
10	IN THE WET, by Nevil Shute.	11	9
""			
11	THE CAINE MUTINY, by Herman Wouk.	13	119
""			
12	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	9	21
""			
13	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	--	34
""			
14	NINE STORIES, by J.D. Salinger.	14	14
""			
15	YOU SHALL KNOW THEM, by Rita Vercors.	--	1
""			
16	EAST OF EDEN, by John Steinbeck.	16	39
This	July 26, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	38
""			
2	ANNAPURNA, by Maurice Herzog.	2	27
""			
3	A HOUSE IS NOT A HOME, by Polly Adler.	3	6
""			
4	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	4	11
""			
5	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	5	23
""			
6	HOLY BIBLE: REVISED STANDARD VERSION.	6	41
""			
7	THE ROMMEL PAPERS, by B.H. Liddell Hart.	8	8
""			
8	NORTH FROM MALAYA, by William O. Douglas.	7	6
""			
9	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	9	14
""			
10	CALL ME LUCKY, by Bing Crosby.	15	2
""			
11	UNCLE POGO SO-SO STORIES, by Walt Kelly.	13	8
""			
12	ANGEL UNAWARE, by Dale Evans Rogers.	16	13
""			
13	A MAN CALLED PETER, by Catherine Marshall.	11	92
""			
14	LIFE AMONG THE SAVAGES, by Shirley Jackson.	12	3
""			
15	THIS I BELIEVE, by Edward R. Murrow.	14	32
""			
16	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	10	13
