This	February 14, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	2	4
""			
2	LORD VANITY, by Samuel Shellabarger.	1	15
""			
3	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	3	41
""			
4	BEYOND THIS PLACE, by A.J. Cronin.	4	29
""			
5	THE LADY OF ARLINGTON, by Harnett T. Kane.	7	18
""			
6	SAYONARA, by James A. Michener.	--	1
""			
7	THE FEMALE, by Paul Wellman.	8	18
""			
8	TOMORROW!, by Philip Wylie.	13	2
""			
9	BATTLE CRY, by Leon Uris.	5	40
""			
10	THE DOCTORS, by Andre Soubiran.	9	11
""			
11	TIME AND TIME AGAIN, by James Hilton.	6	24
""			
12	CRESS DELAHANTY, by Jessamyn West.	10	3
""			
13	LOVE IS A BRIDGE, by Charles Bracelen Flood.	11	13
""			
14	THE GREEK PASSION, by Nikos Kazantzakis.	--	1
""			
15	THE ROBE, by Lloyd C. Douglas.	12	176
""			
16	DESIREE, by Annemarie Selinko.	16	55
This	February 14, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	67
""			
2	LIFE IS WORTH LIVING, by Fulton J. Sheen.	2	15
""			
3	SECOND TREE FROM THE CORNER, by E.B. White.	5	2
""			
4	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	3	9
""			
5	THE CONQUEST OF EVEREST, by Sir John Hunt.	14	2
""			
6	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	7	16
""			
7	THE SECRET DIARY OF HAROLD L. ICKES, by Harold L. Ickes.	6	9
""			
8	AMBASSADOR'S REPORT, by Chester Bowles.	9	4
""			
9	FIRE IN THE ASHES, by Theodore Harold White.	4	11
""			
10	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	10	20
""			
11	LELIA, by Andre Maurois.	8	21
""			
12	A MAN CALLED PETER, by Catherine Marshall.	11	121
""			
13	A STILLNESS AT APPOMATTOX, by Bruce Catton.	13	4
""			
14	PERIOD PIECE, by Gwen Raverat.	15	24
""			
15	FLYING SAUCERS HAVE LANDED, by Desmond Leslie and George Adamski.	--	1
""			
16	THE GREATEST FAITH EVER KNOWN, by Fulton Oursler.	--	10
