This	November 22, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	BEYOND THIS PLACE, by A.J. Cronin.	1	17
""			
2	LORD VANITY, by Samuel Shellabarger.	7	3
""			
3	TIME AND TIME AGAIN, by James Hilton.	2	12
""			
4	TOO LATE THE PHALAROPE, by Alan Paton.	3	12
""			
5	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	5	29
""			
6	DESIREE, by Annemarie Selinko.	4	43
""			
7	THE UNCONQUERED, by Ben Ames Williams.	6	11
""			
8	THE LADY OF ARLINGTON, by Harnett T. Kane.	8	6
""			
9	THE FEMALE, by Paul Wellman.	11	6
""			
10	THE DEVIL'S LAUGHTER, by Frank Yerby.	13	6
""			
11	BATTLE CRY, by Leon Uris.	10	28
""			
12	THE ROBE, by Lloyd C. Douglas.	12	164
""			
13	LOVE IS A BRIDGE, by Charles Bracelen Flood.	15	4
""			
14	THE HEART OF THE FAMILY, by Elizabeth Goudge.	14	7
""			
15	THE ADVENTURES OF AUGIE MARCH, by Saul Bellow.	9	8
""			
16	THE SHADOWS OF THE IMAGES, by William E. Barrett.	--	1
This	November 22, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	55
""			
2	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	2	8
""			
3	LELIA, by Andre Maurois.	5	9
""			
4	GONE WITH THE WINDSORS, by Iles Brody.	3	8
""			
5	A HOUSE IS NOT A HOME, by Polly Adler.	4	23
""			
6	LIFE IS WORTH LIVING, by Fulton J. Sheen.	10	3
""			
7	A MAN CALLED PETER, by Catherine Marshall.	8	109
""			
8	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	6	9
""			
9	PERIOD PIECE, by Gwen Raverat.	7	12
""			
10	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	9	4
""			
11	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	11	4
""			
12	FABULOUS CHICAGO, by Emmett Dedmon.	--	1
""			
13	THE RENAISSANCE, by Will Durant.	15	4
""			
14	DON'T CALL IT FRISCO, by Herb Caen.	--	1
""			
15	HOLY BIBLE: REVISED STANDARD VERSION.	13	58
""			
16	ANGEL UNAWARE, by Dale Evans Rogers.	16	26
