This	May 18, 1958	Last	Weeks
Week	Fiction	Week	On List
""			
1	ANATOMY OF A MURDER, by Robert Traver. (St. Martin's.)	1	17
""			
2	THE WINTHROP WOMAN, by Anya Seton. (Houghton Mifflin Company.)	2	11
""			
3	ICE PALACE, by Edna Ferber. (Doubleday.)	3	8
""			
4	A SUMMER PLACE, by Sloan Wilson. (Simon and Schuster, Inc.)	4	4
""			
5	NORTH FROM ROME, by Helen MacInnes. (Houghton Mifflin Harcourt.)	5	11
""			
6	THE GREENGAGE SUMMER, by Rumer Godden. (Viking.)	7	6
""			
7	THE SERGEANT, by Dennis Murphy. (Viking.)	6	7
""			
8	RALLY ROUND THE FLAG BOYS!, by Max Schulman. (Doubleday.)	9	38
""			
9	THE MACKEREL PLAZA, by Peter De Vries. ( Little, Brown and Company.)	10	5
""			
10	THE WHITE WITCH, by Elizabeth Goudge. (Coward-McCann, Inc.)	12	17
""			
""	BY LOVE POSSESSED, by James Gould Cozzens. (Harcourt, Brace and		
11		8	37
""	Company.)		
""			
12	MAGGIE-NOW, by Betty Smith. (Harper and Brothers.)	11	12
""			
13	LOVER'S POINT, by C.Y. Lee. (Farrar Straus Cudahy.)	--	1
""			
14	THE TRAVELS OF JAIMIE McPHEETERS, by Robert Lewis Taylor. (Doubleday.)	14	4
""			
15	RIDE THE RED EARTH, by Paul Wellman. (Doubleday.)	16	7
""			
16	EXILE AND THE KINGDOM, by Albert Camus. (Alfred A. Knopf.)	13	8
This	May 18, 1958	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MASTERS OF DECEIT, by J. Edgar Hoover. (Henry Holt and Co.)	1	8
""			
2	PLEASE DON'T EAT THE DAISIES, by Jean Kerr. (Doubleday.)	2	23
""			
3	INSIDE RUSSIA TODAY, by John Gunther. (Harper and Brothers.)	3	4
""			
4	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	4	26
""			
5	MADISON AVENUE, U.S.A., by Martin Mayer. (Harper and Brothers.)	6	8
""			
""	THE GREAT DEMOCRACIES, by Winston S. Churchill. (Dodd, Mead and		
6		5	9
""	Company.)		
""			
7	LIFE PLUS 99 YEARS, by Nathan F. Leopold. (Doubleday and Company Inc.)	9	9
""			
8	BARUCH: MY OWN STORY, by Bernard M. Baruch. (Henry Holt and Company.)	7	37
""			
""	"""WHERE DID YOU GO?"" ""OUT"" ""WHAT DID YOU DO?"" ""NOTHING."", by Robert"		
9		10	40
""	Paul Smith. (W.W. Norton and Company.)		
""			
10	THE DAY CHRIST DIED, by Jim Bishop. (Harper and Brothers.)	8	33
""			
11	THE ORDEAL OF WOODROW WILSON, by Herbert Hoover. (McGraw-Hill.)	--	1
""			
12	TO LIVE AGAIN, by Catherine Marshall. (McGraw Hill.)	12	28
""			
13	DEAR ABBY, by Abigail Van Buren. (Prentice-Hall, Inc.)	--	1
""			
14	ATTORNEY FOR THE DAMNED, by Arthur Weinberg. (Simon and Schuster.)	11	18
""			
""	THE ARCTIC YEAR, by Peter Freuchen and Finn Salomonsen. (G.P. Putnam's		
15		--	1
""	Sons.)		
""			
16	THE HIDDEN PERSUADERS, by Vance Packard. (David McKay Company.)	15	49
