This	September 20, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	34
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	2	8
""			
3	BATTLE CRY, by Leon Uris.	3	19
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	20
""			
5	TOO LATE THE PHALAROPE, by Alan Paton.	6	3
""			
6	TIME AND TIME AGAIN, by James Hilton.	5	3
""			
7	THE UNCONQUERED, by Ben Ames Williams.	9	2
""			
8	THE BRIDGES AT TOKO-RI, by James A. Michener.	8	8
""			
9	THE DARK ANGEL, by Mika Waltari.	7	14
""			
10	COME, MY BELOVED, by Pearl S. Buck.	10	4
""			
11	THE SILVER CHALICE, by Thomas B. Costain.	11	60
""			
12	THE EMPEROR'S LADY, by F.W. Kenyon.	12	14
""			
13	THE VERMILLION GATE, by Lin Yutang.	--	5
""			
14	THE DEEP SIX, by Martin Dibner.	14	3
""			
15	KINGFISHERS CATCH FIRE, by Rumer Godden.	13	15
""			
16	ANYONE'S MY NAME, by Seymour Shubin.	--	1
This	September 20, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	46
""			
2	A HOUSE IS NOT A HOME, by Polly Adler.	2	14
""			
3	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	5	19
""			
4	A MAN CALLED PETER, by Catherine Marshall.	6	100
""			
5	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	31
""			
6	ANNAPURNA, by Maurice Herzog.	4	35
""			
7	CALL ME LUCKY, by Bing Crosby.	7	10
""			
8	PERIOD PIECE, by Gwen Raverat.	9	3
""			
9	FATHER, DEAR FATHER, by Ludwig Bemelmans.	11	2
""			
10	INDIA AND THE AWAKENING EAST, by Eleanor Roosevelt.	10	6
""			
11	HOLY BIBLE: REVISED STANDARD VERSION.	8	49
""			
12	THE ROMMEL PAPERS, by B.H. Liddell Hart.	12	16
""			
13	HORN OF THE HUNTER, by Robert Ruark.	16	3
""			
14	LIFE AMONG THE SAVAGES, by Shirley Jackson.	15	10
""			
15	ANGEL UNAWARE, by Dale Evans Rogers.	14	19
""			
16	OUR VIRGIN ISLAND, by Robb White.	--	2
