This	June 24, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LAST HURRAH, by Edwin O'Connor. (Little, Brown and Co.)	1	18
""			
2	ANDERSONVILLE, by MacKinlay Kantor. (Cleveland: World Publishing.)	2	34
""			
3	IMPERIAL WOMAN, by Pearl S. Buck. (John Day Company.)	3	11
""			
4	THE MANDARINS, by Simone de Beauvoir. (World Publishing Co.)	7	3
""			
5	A THING OF BEAUTY, by A.J. Cronin. (Little, Brown.)	6	3
""			
6	LUCY CROWN, by Irwin Shaw. (Random House.)	4	12
""			
7	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	5	67
""			
8	A WALK ON THE WILD SIDE, by Nelson Algren. (Farrar, Straus and Cudahy.)	11	3
""			
9	TEN NORTH FREDERICK, by John O'Hara. (Random House.)	8	29
""			
10	THE ROSEMARY TREE, by Elizabeth Goudge. (Coward-McCann.)	14	2
""			
11	COMFORT ME WITH APPLES, by Peter De Vries. (Little, Brown and Company.)	12	6
""			
12	A SINGLE PEBBLE, by John Hersey. (Alfred A. Knopf.)	--	1
""			
13	THE QUIET AMERICAN, by Graham Greene. (Viking Press.)	9	14
""			
14	THE CROSS OF IRON, by Willi Heinrich. (Bobbs-Merrill.)	10	5
""			
15	REMEMBER THE HOUSE, by Santha Rama Rau. (Harper.)	13	7
""			
16	THE NINTH WAVE, by Eugene Burdick. (Houghton Mifflin Company.)	--	1
This	June 24, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE BIRTH OF BRITAIN, by Winston S. Churchill. (Dodd, Mead.)	1	9
""			
2	ARTHRITIS AND COMMON SENSE, by Dale Alexander. (Witkower Press Inc.)	2	11
""			
3	LOVE OR PERISH, by Smiley Blanton. (Simon and Schuster.)	6	19
""			
4	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	5	66
""			
5	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	4	23
""			
""	THE SEARCH FOR BRIDEY MURPHY, by Morey Bernstein. (Doubleday and		
6		3	23
""	Company.)		
""			
7	MINORITY REPORT, by H.L. Mencken. (Alfred A. Knopf.)	10	3
""			
8	GUESTWARD HO!, by Patrick Dennis and Barbara Hooton. (Vanguard Press.)	13	3
""			
9	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	7	66
""			
10	OLYMPIO, by Andre Maurois. (Harper and Brothers.)	9	5
""			
11	YOUTH, by Frances Ilg, Arnold Gesell and Louise Ames. (Harper and Row.)	14	4
""			
12	GRAY FOX, by Burke Davis. (Rinehart.)	11	6
""			
13	A NIGHT TO REMEMBER, by Walter Lord. (Henry Holt and Company.)	8	29
""			
14	ELOISE, by Kay Thompson and Hilary Knight. (Simon and Schuster.)	12	19
""			
15	BAY WINDOW BOHEMIA, by Oscar Lewis. (Doubleday.)	16	8
""			
""	THE SCROLLS FROM THE DEAD SEA, by Edmund Wilson. (Oxford University		
16		15	33
""	Press.)		
