This	March 4, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	ANDERSONVILLE, by MacKinlay Kantor. (Cleveland: World Publishing.)	1	18
""			
2	TEN NORTH FREDERICK, by John O'Hara. (Random House.)	3	13
""			
3	MARJORIE MORNINGSTAR, by Herman Wouk. (Doubleday and Company, Inc.)	2	25
""			
4	THE LAST HURRAH, by Edwin O'Connor. (Little, Brown and Co.)	7	2
""			
5	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	5	51
""			
6	ISLAND IN THE SUN, by Alec Waugh. (Farrar Straus and Giroux.)	8	7
""			
7	CASH McCALL, by Cameron Hawley. (Houghton and Mifflin.)	4	15
""			
8	BOON ISLAND, by Kenneth Roberts. (Doubleday and Company.)	6	7
""			
9	H.M.S. ULYSSES, by Alistair MacLean. (Collins Clear-Type Press.)	9	6
""			
10	AN EPISODE OF SPARROWS, by Rumer Godden. (Viking Press.)	12	12
""			
11	TENDER VICTORY, by Taylor Caldwell. (McGraw-Hill.)	10	6
""			
12	ASPECTS OF LOVE, by David Garnett. (Harcourt Brace.)	13	3
""			
13	THE TONTINE, by Thomas B. Costain. (Doubleday.)	15	22
""			
""	THE MAN IN THE GRAY FLANNEL SUIT, by Sloan Wilson. (Simon and		
14		11	32
""	Schuster.)		
""			
15	THE CAPRI LETTERS, by Mario Soldati. (Alfred A. Knopf.)	--	1
""			
16	THE SCARLET CORD, by Frank G. Slaughter. (Doubleday.)	--	1
This	March 4, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
""	THE SEARCH FOR BRIDEY MURPHY, by Morey Bernstein. (Doubleday and		
1		2	7
""	Company.)		
""			
2	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	1	50
""			
3	A NIGHT TO REMEMBER, by Walter Lord. (Henry Holt and Company.)	3	13
""			
4	INSIDE AFRICA, by John Gunther. (Harper and Brothers.)	4	22
""			
5	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	6	7
""			
""	THE SCROLLS FROM THE DEAD SEA, by Edmund Wilson. (Oxford University		
6		5	17
""	Press.)		
""			
7	THE SECRET OF THE HITTITES, by C.W. Ceram. (Alfred A Knopf.)	9	6
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
8		8	174
""	Inc.)		
""			
9	THE EDGE OF THE SEA, by Rachel Carson. (Houghton Mifflin.)	7	16
""			
10	LOVE OR PERISH, by Smiley Blanton. (Simon and Schuster.)	11	3
""			
11	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	10	50
""			
12	ELOISE, by Kay Thompson and Hilary Knight. (Simon and Schuster.)	--	3
""			
13	MACARTHUR, by Courtney Whitney. (Alfred A. Knopf.)	14	3
""			
14	SURPRISED BY JOY, by C.S. Lewis. (Harcourt, Brace and Co.)	--	1
""			
15	HERBLOCK'S HERE AND NOW, by Herbert Block. (Simon and Schuster.)	13	10
""			
16	THE COLUMBIA, by Stewart Hall Holbrook. (Rinehart and Co., Inc.)	--	1
