This	September 10, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CARDINAL, by Henry Morton Robinson.	1	23
""			
2	WORLD AND ENOUGH TIME, by Robert Penn Warren.	2	10
""			
3	JUBILEE TRAIL, by Gwen Bristow.	3	29
""			
4	THE LEGACY, by Nevil Shute.	4	11
""			
5	THE WALL, by John Hersey.	5	27
""			
6	FLOODTIDE, by Frank Yerby.	16	2
""			
7	TWO ADOLESCENTS, by Alberto Moravia.	6	5
""			
8	WHITE WITCH DOCTOR, by Louise A. Stinetorf.	7	5
""			
9	HOMEWARD BORNE, by Ruth Chatterton.	8	16
""			
10	THE LITTLE WORLD OF DON CAMILLO, by Giovanni Guareschi.	--	1
""			
11	TOO LITTLE LOVE, by Robert Henriques.	10	11
""			
12	THE EGYPTIAN, by Mika Waltari.	11	53
""			
13	STAR MONEY, by Kathleen Winsor.	9	20
""			
14	LONG THE IMPERIAL WAY, by Hanama Tasaki.	--	1
""			
15	THE STUBBORN HEART, by Frank G. Slaughter.	13	12
""			
16	REPRISAL, by Arthur Gordon.	--	1
This	September 10, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	COURTROOM, by Quentin Reynolds.	2	13
""			
2	THE LITTLE PRINCESSES, by Marion Crawford.	1	7
""			
3	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	3	22
""			
4	DIANETICS, by L. Ron Hubbard.	5	13
""			
5	WORDS IN COLLISION, by Immanuel Velikovsky.	4	22
""			
6	ROOSEVELT IN RETROSPECT, by John Gunther.	6	13
""			
7	THE MATURE MIND, by Harry Allen Overstreet.	7	55
""			
8	JOHN ADAMS AND THE AMERICAN REVOLUTION, by Catherine Drinker	8	10
""	Bowen.		
""			
9	BEHIND CLOSED DOORS, by Ellis M. Zacharias.	9	5
""			
10	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	10	26
""			
11	ELEANOR OF AQUITIANE AND THE FOUR KINGS, by Amy Kelly.	14	11
""			
12	SPRINGTIME IN PARIS, by Elliot H. Paul.	13	2
""			
13	ORDEAL BY SLANDER, by Owen Lattimore.	11	4
""			
14	MR. JONES, MEET THE MASTER, by Peter Marshall.	--	34
""			
15	SEEDS OF TREASON, by Ralph de Toledano and Victor Lasky.	12	21
""			
16	ESCAPE TO ADVENTURE, by Fitzroy MacLean.	--	6
