This	September 7, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	2	6
""			
2	THE CAINE MUTINY, by Herman Wouk.	1	73
""			
3	THE HOUSES IN BETWEEN, by Howard Spring.	3	17
""			
4	MATADOR, by Barnaby Conrad.	4	9
""			
5	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	5	23
""			
6	MY COUSIN RACHEL, by Daphne du Maurier.	6	30
""			
7	CATHERINE CARTER, by Pamela Hansford Johnson.	9	5
""			
8	THE CRUEL SEA, by Nicholas Monsarrat.	8	56
""			
9	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	14	2
""			
10	THE HIDDEN FLOWER, by Pearl S. Buck.	7	14
""			
11	SCALPEL, by Horace McCoy.	10	8
""			
12	THE SINNER OF SAINT AMBROSE, by Robert Reynolds.	11	2
""			
13	THE STORIES OF FRANK O'CONNER, by Frank O'Conner.	--	1
""			
14	THE SARACEN BLADE, by Frank Yerby.	12	20
""			
15	THE FANCY DRESS PARTY, by Alberto Moravia.	16	2
""			
16	THE ALEXANDRIANS, by Charles Mills.	13	12
This	September 7, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	WITNESS, by Whittaker Chambers.	1	15
""			
2	THE SEA AROUND US, by Rachel Carson.	2	60
""			
3	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	4	10
""			
4	A MAN CALLED PETER, by Catherine Marshall.	3	46
""			
5	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	6	15
""			
6	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	9	4
""			
7	POSTMARKED MOSCOW, by Lydia Kirk.	8	5
""			
8	SUBMARINE, by Edward L. Beach.	7	8
""			
9	THE THURBER ALBUM, by James Thurber.	5	12
""			
10	THE GREAT ENTERPRISE, by H.A. Overstreet.	11	2
""			
11	JOURNEY TO THE FAR PACIFIC, by Thomas E. Dewey.	10	6
""			
12	IN ONE EAR, by Eric Severeid.	13	5
""			
13	UNDER THE SEA-WIND, by Rachel Carson.	--	19
""			
14	THEODORA AND THE EMPEROR, by Harold Lamb.	15	3
""			
15	THE SPIRIT OF LIBERTY, by Irving Dillard.	--	7
""			
16	U.S.A. CONFIDENTIAL, by Jack Lait and Lee Mortimer.	14	25
