This	August 4, 1957	Last	Weeks
Week	Fiction	Week	On List
""			
1	PEYTON PLACE, by Grace Metalious. (Simon and Schuster, Inc.)	1	45
""			
2	THE SCAPEGOAT, by Daphne du Maurier. (Doubleday and Co.)	2	23
""			
3	SILVER SPOON, by Edwin Gilbert. (Lippencott.)	4	11
""			
4	BLUE CAMELLIA, by Frances Parkinson Keyes. (Julian Messner Inc.)	5	27
""			
5	LETTER FROM PEKING, by Pearl S. Buck. (John Day Company.)	12	2
""			
6	LIFE AT HAPPY KNOLL, by John P. Marquand. (Little, Brown, and Co.)	7	5
""			
7	COMPULSION, by Meyer Levin. (Simon and Schuster.)	3	38
""			
8	THE LAST ANGRY MAN, by Gerald Green. (Charles Scribner's Sons.)	6	24
""			
9	THE DURABLE FIRE, by Howard Swiggett. (Houghton Mifflin Co.)	8	5
""			
10	THE WONDERFUL O., by James Thurber. (Simon and Schuster.)	10	8
""			
11	THE SHORT REIGN OF PIPPIN IV, by John Steinbeck. (Viking.)	9	14
""			
""	THE PINK HOTEL, by Dorothy Erskine and Patrick Dennis. (G. P. Putnam's		
12		--	1
""	Sons.)		
""			
13	THE LADY, by Conrad Richter. (Alfred A. Knopf.)	13	8
""			
14	THE TOWN, by William Faulkner. (Random House.)	11	12
""			
15	THE FLOWER DRUM SONG, by C.Y. Lee. (Farrar, Straus and Cudahy.)	14	5
""			
16	FAR, FAR THE MOUNTAIN PEAK, by John Masters. (Viking Books.)	16	12
This	August 4, 1957	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE HIDDEN PERSUADERS, by Vance Packard. (David McKay Company.)	3	10
""			
2	THE DAY CHRIST DIED, by Jim Bishop. (Harper and Brothers.)	1	11
""			
3	THE INNOCENT AMBASSADORS, by Philip Wylie. (Rinehart and Company.)	2	12
""			
4	THE TURN OF THE TIDE, by Arthur Bryant. (Doubleday and Co. Inc.)	4	10
""			
5	STAY ALIVE ALL YOUR LIFE, by Norman Vincent Peale. (Prentice-Hall, Inc.)	5	18
""			
6	SILVER PLATTER, by Ellin Berlin. (Doubleday.)	8	9
""			
7	TOO MUCH, TOO SOON, by Diana Barrymore and Gerold Frank. (Henry Holt.)	--	12
""			
8	THE FBI STORY, by Don Whitehead. (Random House.)	6	34
""			
""	RASCALS IN PARADISE, by James A. Michener and Grove Day. (Random		
9		7	5
""	House.)		
""			
10	TAKE MY LIFE, by Eddie Cantor. (Doubleday.)	11	7
""			
11	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	12	78
""			
12	DAY OF INFAMY, by Walter Lord. (Henry Holt and Company.)	9	17
""			
13	THE NUN'S STORY, by Kathryn Hulme. (Little, Brown and Company.)	10	45
""			
14	THE ORGANIZATION MAN, by William H. Whyte Jr. (Simon and Schuster.)	14	26
""			
15	CHARLIE, by Ben Hecht. (Harper and Brothers.)	--	1
""			
16	FAITH ON THE MARCH, by A.H. Macmillan. (Prentice-Hall, Inc.)	13	10
