This	November 23, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	EAST OF EDEN, by John Steinbeck.	1	8
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	3	17
""			
3	GIANT, by Edna Ferber.	2	7
""			
4	THE CAINE MUTINY, by Herman Wouk.	4	84
""			
5	THE OLD MAN AND THE SEA, by Ernest Hemingway.	5	11
""			
6	THE HOUSES IN BETWEEN, by Howard Spring.	6	28
""			
7	MEN AT ARMS, by Evelyn Waugh.	7	4
""			
8	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	9	13
""			
9	SIRONIA, TEXAS, by Madison Cooper.	--	1
""			
10	MATADOR, by Barnaby Conrad.	13	20
""			
11	CONFESSORS OF THE NAME, by Gladys Schmitt.	14	2
""			
12	QUEEN'S GIFT, by Inglis Clark Fletcher.	8	3
""			
13	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	16	34
""			
14	THE FAR COUNTRY, by Nevil Shute.	15	9
""			
15	KISS ME, DEADLY, by Mickey Spillane.	11	3
""			
16	PRISONER OF GRACE, by Joyce Cary.	10	4
This	November 23, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	6
""			
2	HOLY BIBLE: REVISED STANDARD VERSION.	3	6
""			
3	A MAN CALLED PETER, by Catherine Marshall.	2	57
""			
4	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	4	8
""			
5	THE SEA AROUND US, by Rachel Carson.	5	71
""			
6	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	9	3
""			
7	THE GREAT ENTERPRISE, by H.A. Overstreet.	6	13
""			
8	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	8	21
""			
9	BEYOND THE HIMALAYAS, by William O. Douglas.	13	5
""			
10	THE DEVILS OF LOUDUN, by Aldous Huxley.	7	5
""			
11	THE HERBLOCK BOOK, by Herbert Block.	14	4
""			
12	I GO POGO, by Walt Kelly.	10	10
""			
13	THE BIG CHANGE, by Frederick Lewis Allen.	--	1
""			
14	WITNESS, by Whittaker Chambers.	12	26
""			
15	CURRIER AND IVE'S AMERICA, by Colin Simkin.	--	1
""			
16	POSTMARKED MOSCOW, by Lydia Kirk.	--	14
