This	March 14, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	8
""			
2	SAYONARA, by James A. Michener.	3	5
""			
3	LORD VANITY, by Samuel Shellabarger.	2	19
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	45
""			
5	TOMORROW!, by Philip Wylie.	5	6
""			
6	RAINBOW ON THE ROAD, by Esther Forbes.	6	4
""			
7	THE LADY OF ARLINGTON, by Harnett T. Kane.	10	22
""			
8	CRESS DELAHANTY, by Jessamyn West.	9	7
""			
9	BEYOND THIS PLACE, by A.J. Cronin.	7	33
""			
10	THE FEMALE, by Paul Wellman.	12	22
""			
11	BATTLE CRY, by Leon Uris.	8	44
""			
12	LOVE IS A BRIDGE, by Charles Bracelen Flood.	11	17
""			
13	THE NIGHT OF THE HUNTER, by Davis Grubb.	--	1
""			
14	THE DEATH OF KINGS, by Charles Wertenbaker.	16	2
""			
15	THE DOCTORS, by Andre Soubiran.	13	15
""			
16	TIME AND TIME AGAIN, by James Hilton.	15	28
This	March 14, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	71
""			
2	SECOND TREE FROM THE CORNER, by E.B. White.	2	6
""			
3	THE CONQUEST OF EVEREST, by Sir John Hunt.	3	6
""			
4	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	8	2
""			
5	LIFE IS WORTH LIVING, by Fulton J. Sheen.	4	19
""			
6	THE MAN WHO NEVER WAS, by Ewen Montagu.	5	4
""			
7	AMBASSADOR'S REPORT, by Chester Bowles.	7	8
""			
8	FIRE IN THE ASHES, by Theodore Harold White.	6	15
""			
9	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	10	20
""			
10	A MAN CALLED PETER, by Catherine Marshall.	15	125
""			
11	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	9	13
""			
12	A STILLNESS AT APPOMATTOX, by Bruce Catton.	12	8
""			
13	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	14	2
""			
14	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	13	24
""			
15	THE GREAT IRON SHIP, by James Dugan.	16	3
""			
16	FLYING SAUCERS HAVE LANDED, by Desmond Leslie and George Adamski.	--	2
