This	October 18, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	BEYOND THIS PLACE, by A.J. Cronin.	1	12
""			
2	TOO LATE THE PHALAROPE, by Alan Paton.	3	7
""			
3	DESIREE, by Annemarie Selinko.	2	38
""			
4	TIME AND TIME AGAIN, by James Hilton.	4	7
""			
5	THE UNCONQUERED, by Ben Ames Williams.	7	6
""			
6	BATTLE CRY, by Leon Uris.	5	23
""			
7	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	6	24
""			
8	THE ADVENTURES OF AUGIE MARCH, by Saul Bellow.	8	3
""			
9	COME, MY BELOVED, by Pearl S. Buck.	9	8
""			
10	THE DEVIL'S LAUGHTER, by Frank Yerby.	--	1
""			
11	THE LADY OF ARLINGTON, by Harnett T. Kane.	--	1
""			
12	THE FEMALE, by Paul Wellman.	--	1
""			
13	FROM HERE TO ETERNITY, by James Jones.	--	63
""			
14	THE HEART OF THE FAMILY, by Elizabeth Goudge.	16	2
""			
15	THE BRIDGES AT TOKO-RI, by James A. Michener.	11	12
""			
16	THE DEEP SIX, by Martin Dibner.	14	6
This	October 18, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	50
""			
2	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	2	4
""			
3	A HOUSE IS NOT A HOME, by Polly Adler.	3	18
""			
4	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	4	3
""			
5	GONE WITH THE WINDSORS, by Iles Brody.	9	3
""			
6	A MAN CALLED PETER, by Catherine Marshall.	5	104
""			
7	LELIA, by Andre Maurois.	6	4
""			
8	PERIOD PIECE, by Gwen Raverat.	7	7
""			
9	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	11	35
""			
10	HOLY BIBLE: REVISED STANDARD VERSION.	10	53
""			
11	FATHER, DEAR FATHER, by Ludwig Bemelmans.	12	6
""			
12	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	8	23
""			
13	INDIA AND THE AWAKENING EAST, by Eleanor Roosevelt.	15	10
""			
14	ANNAPURNA, by Maurice Herzog.	14	39
""			
15	ANGEL UNAWARE, by Dale Evans Rogers.	16	22
""			
16	CALL ME LUCKY, by Bing Crosby.	13	14
