This	December 21, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	EAST OF EDEN, by John Steinbeck.	1	12
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	21
""			
3	GIANT, by Edna Ferber.	3	11
""			
4	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	4	4
""			
5	THE CAINE MUTINY, by Herman Wouk.	5	88
""			
6	THE OLD MAN AND THE SEA, by Ernest Hemingway.	6	15
""			
7	THE WONDERFUL COUNTRY, by Tom Lea.	7	4
""			
8	SIRONIA, TEXAS, by Madison Cooper.	8	5
""			
9	QUEEN'S GIFT, by Inglis Clark Fletcher.	11	7
""			
10	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	12	17
""			
11	THE HOUSES IN BETWEEN, by Howard Spring.	10	32
""			
12	THE MAN ON A DONKEY, by H.F.M. Prescott.	13	7
""			
13	MEN AT ARMS, by Evelyn Waugh.	9	8
""			
14	KISS ME, DEADLY, by Mickey Spillane.	15	7
""			
15	CHARLOTTE'S WEB, by E.B. White.	--	2
""			
16	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	--	35
This	December 21, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	10
""			
2	HOLY BIBLE: REVISED STANDARD VERSION.	2	10
""			
3	A MAN CALLED PETER, by Catherine Marshall.	3	61
""			
4	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	7	7
""			
5	ABRAHAM LINCOLN, by Benjamin P. Thomas.	5	4
""			
6	THE LAST RESORTS, by Cleveland Amory.	4	4
""			
7	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	6	12
""			
8	THE SEA AROUND US, by Rachel Carson.	8	75
""			
9	THE BIG CHANGE, by Frederick Lewis Allen.	13	5
""			
10	THE HERBLOCK BOOK, by Herbert Block.	11	8
""			
11	BEYOND THE HIMALAYAS, by William O. Douglas.	10	9
""			
12	THE GREAT ENTERPRISE, by H.A. Overstreet.	9	17
""			
13	A MANY-SPLENDORED THING, by Han Suyin.	--	1
""			
14	GOOD FOR A LAUGH, by Bennett Cerf.	--	1
""			
15	THE CROSS AND THE CROWN, by Norman Beasley.	--	2
""			
""	FIRESIDE SONGS OF FAVORITE AMERICAN SONGS, by Margaret Bradford		
16	Boni.	16	2
