This	December 16, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	PEYTON PLACE, by Grace Metalious. (Simon and Schuster, Inc.)	1	12
""			
2	DON'T GO NEAR THE WATER, by William Brinkley. (Random House Inc.)	2	22
""			
""	THE TRIBE THAT LOST ITS HEAD, by Nicholas Monsarrat. (William Sloane		
3		3	6
""	Associates.)		
""			
4	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	4	92
""			
5	COMPULSION, by Meyer Levin. (Simon and Schuster.)	6	5
""			
6	THE LAST HURRAH, by Edwin O'Connor. (Little, Brown and Co.)	5	43
""			
7	KING OF PARIS, by Guy Endore. (Cresset Press.)	7	9
""			
8	THE LOVING COUPLE, by Virginia Rowans. (Thomas Y. Crowell.)	10	12
""			
9	JERICHO'S DAUGHTERS, by Paul Wellman. (Doubleday.)	9	8
""			
10	A CERTAIN SMILE, by Francoise Sagan. (E. P. Dutton and Company, Inc.)	8	18
""			
11	THE SUCCESS, by Helen Howe. (Simon and Schuster.)	11	10
""			
12	MERRY CHRISTMAS, MR. BAXTER, by Edward Streeter. (Harper and Brothers.)	12	3
""			
13	THESE THOUSAND HILLS, by A.B. Guthrie Jr. (Houghton Mifflin.)	--	1
""			
14	THE WRECK OF THE MARY DEARE, by Hammond Innes. (Alfred A. Knopf.)	--	1
""			
15	BORN IN WEDLOCK, by Margaret Echard. (Doubleday and Company, Inc.)	--	1
""			
16	ANGLO-SAXON ATTITUDES, by Angus Wilson. (Viking.)	14	8
This	December 16, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE NUN'S STORY, by Kathryn Hulme. (Little, Brown and Company.)	1	12
""			
2	THIS HALLOWED GROUND, by Bruce Catton. (Doubleday and Company.)	2	5
""			
3	MEN TO MATCH MY MOUNTAINS, by Irving Stone. (Doubleday.)	4	9
""			
4	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	3	48
""			
5	THE NEW WORLD, by Winston S. Churchill. (Dodd, Mead and Company.)	8	3
""			
""	THREE SAINTS AND A SINNER, by Louise Hall Tharp. (Little, Brown and		
6		7	8
""	Company.)		
""			
7	AUTUMN ACROSS AMERICA, by Edwin Way Teale. (Dodd, Mead and Co.)	10	6
""			
8	MUCH ADO ABOUT ME, by Fred Allen. (Little, Brown and Co.)	11	2
""			
9	THE OUTSIDER, by Colin Wilson. (Houghton Mifflin Company.)	6	11
""			
10	ARTHRITIS AND COMMON SENSE, by Dale Alexander. (Witkower Press Inc.)	5	36
""			
11	THE FBI STORY, by Don Whitehead. (Random House.)	--	1
""			
""	THE UNICORN AND OTHER POEMS, by Anne Morrow Lindbergh. (Pantheon		
12		9	11
""	Books.)		
""			
13	THE BIBLE AS HISTORY, by Werner Keller. (William Morrow and Company.)	--	2
""			
14	THE LIFE OF THE PARTY, by Bennett Cerf. (Hanover House.)	--	2
""			
15	WATER, WATER EVERYWHERE, by Emily Kimbrough. (Harper and Brothers.)	--	1
""			
16	LOVE OR PERISH, by Smiley Blanton. (Simon and Schuster.)	16	43
