This	August 15, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	1	9
""			
2	NOT AS A STRANGER, by Morton Thompson.	2	30
""			
3	SWEET THURSDAY, by John Steinbeck.	3	8
""			
4	THE ROYAL BOX, by Frances Parkinson Keyes.	4	8
""			
5	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	5	14
""			
6	THE FALL OF A TITAN, by Igor Gouzenko.	8	2
""			
7	THE DOLLMAKER, by Harriette Arnow.	6	14
""			
8	BLESS THIS HOUSE, by Norah Lofts.	7	19
""			
9	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	9	10
""			
10	MR. HOBBS' VACATION, by Edward Streeter.	11	10
""			
11	AWAY ALL BOATS, by Kenneth Dodson.	14	22
""			
12	THE SONG OF RUTH, by Frank G. Slaughter.	10	15
""			
13	PICTURES FROM AN INSTITUTION, by Randall Jarrell.	--	9
""			
14	A WREATH FOR THE ENEMY, by Pamela Frankau.	13	5
""			
15	DON CAMILLO'S DILEMMA, by Giovanni Guareschi.	12	4
""			
16	THE TUNNEL OF LOVE, by Peter De Vries.	15	7
This	August 15, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	93
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	3	24
""			
3	I'LL CRY TOMORROW, by Lillian Roth.	2	10
""			
4	A CHILD OF THE CENTURY, by Ben Hecht.	4	7
""			
5	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	6	22
""			
6	MINUTES OF THE LAST MEETING, by Gene Fowler.	5	17
""			
7	MADAME DE POMPADOUR, by Nancy Mitford.	10	8
""			
8	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	7	21
""			
9	CELL 2455 DEATH ROW, by Caryl Chessman.	12	12
""			
10	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	9	5
""			
11	THE REASON WHY, by Cecil Woodham-Smith.	8	13
""			
12	JOURNEY TO THE FAR AMAZON, by Alain Gheerbrant.	13	6
""			
13	OF WHALES AND MEN, by R.B. Robertson.	14	6
""			
14	FUTURE INDEFINITE, by Noel Coward.	16	2
""			
15	ANIMALS, MEN AND MYTHS, by Richard Lewinsohn.	--	3
""			
16	SECOND TREE FROM THE CORNER, by E.B. White.	11	28
