This	June 28, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	22
""			
2	BATTLE CRY, by Leon Uris.	2	7
""			
3	THE SILVER CHALICE, by Thomas B. Costain.	3	48
""			
4	THE DARK ANGEL, by Mika Waltari.	9	2
""			
5	THE ECHOING GROVE, by Rosamond Lehmann.	7	5
""			
6	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	8
""			
7	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	6	17
""			
8	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	5	14
""			
9	KINGFISHERS CATCH FIRE, by Rumer Godden.	10	3
""			
10	THE EMPEROR'S LADY, by F.W. Kenyon.	13	2
""			
11	ZORBA THE GREEK, by Nikos Kazantzakis.	12	7
""			
12	HOTEL TALLYRAND, by Paul Hyde Bonner.	8	10
""			
13	IN THE WET, by Nevil Shute.	11	5
""			
14	NINE STORIES, by J.D. Salinger.	16	10
""			
15	THE CAINE MUTINY, by Herman Wouk.	14	115
""			
16	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	15	31
This	June 28, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	34
""			
2	ANNAPURNA, by Maurice Herzog.	2	23
""			
3	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	5	10
""			
4	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	4	19
""			
5	HOLY BIBLE: REVISED STANDARD VERSION.	3	37
""			
6	THE ROMMEL PAPERS, by B.H. Liddell Hart.	9	4
""			
7	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	6	7
""			
8	NORTH FROM MALAYA, by William O. Douglas.	11	2
""			
9	A HOUSE IS NOT A HOME, by Polly Adler.	16	2
""			
10	UNCLE POGO SO-SO STORIES, by Walt Kelly.	13	4
""			
11	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	8	9
""			
12	A MAN CALLED PETER, by Catherine Marshall.	7	88
""			
13	THIS I BELIEVE, by Edward R. Murrow.	12	28
""			
14	THE WORLD AND THE WEST, by Arnold Toynbee.	14	12
""			
15	ANGEL UNAWARE, by Dale Evans Rogers.	10	9
""			
16	ELIZABETH AND PHILIP, by Geoffrey Bocca.	--	3
