This	August 24, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	71
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	4
""			
3	THE HOUSES IN BETWEEN, by Howard Spring.	3	15
""			
4	MATADOR, by Barnaby Conrad.	4	7
""			
5	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	6	21
""			
6	MY COUSIN RACHEL, by Daphne du Maurier.	5	28
""			
7	THE HIDDEN FLOWER, by Pearl S. Buck.	7	12
""			
8	THE CRUEL SEA, by Nicholas Monsarrat.	8	54
""			
9	CATHERINE CARTER, by Pamela Hansford Johnson.	11	3
""			
10	THE SHINING TIDES, by Win Brooks.	16	4
""			
11	THE SARACEN BLADE, by Frank Yerby.	10	18
""			
12	SCALPEL, by Horace McCoy.	14	6
""			
13	THE GOLDEN HAND, by Edith Simon.	9	15
""			
14	THE ALEXANDRIANS, by Charles Mills.	12	10
""			
15	S P Q R, by Paul Hyde Bonner.	15	18
""			
16	LAMENT FOR FOUR VIRGINS, by Lael Tucker.	13	2
This	August 24, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	WITNESS, by Whittaker Chambers.	1	13
""			
2	THE SEA AROUND US, by Rachel Carson.	2	58
""			
3	A MAN CALLED PETER, by Catherine Marshall.	3	44
""			
4	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	4	8
""			
5	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	5	13
""			
6	POSTMARKED MOSCOW, by Lydia Kirk.	8	3
""			
7	JOURNEY TO THE FAR PACIFIC, by Thomas E. Dewey.	7	4
""			
8	THE THURBER ALBUM, by James Thurber.	6	10
""			
9	SUBMARINE, by Edward L. Beach.	9	6
""			
10	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	10	2
""			
11	UNDER THE SEA-WIND, by Rachel Carson.	12	18
""			
12	U.S.A. CONFIDENTIAL, by Jack Lait and Lee Mortimer.	11	23
""			
13	THEODORA AND THE EMPEROR, by Harold Lamb.	--	1
""			
14	IN ONE EAR, by Eric Severeid.	14	3
""			
15	WINSTON CHURCHILL, by Robert Lewis Taylor.	16	8
""			
16	THE SPIRIT OF LIBERTY, by Irving Dillard.	--	6
