This	August 20, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CARDINAL, by Henry Morton Robinson.	1	20
""			
2	WORLD AND ENOUGH TIME, by Robert Penn Warren.	2	7
""			
3	JUBILEE TRAIL, by Gwen Bristow.	4	26
""			
4	THE WALL, by John Hersey.	3	24
""			
5	THE LEGACY, by Nevil Shute.	5	8
""			
6	STAR MONEY, by Kathleen Winsor.	7	17
""			
7	HOMEWARD BORNE, by Ruth Chatterton.	6	13
""			
8	TOO LITTLE LOVE, by Robert Henriques.	8	8
""			
9	WHITE WITCH DOCTOR, by Louise A. Stinetorf.	12	2
""			
10	THE EGYPTIAN, by Mika Waltari.	10	50
""			
11	TWO ADOLESCENTS, by Alberto Moravia.	9	2
""			
12	THE CIRCLE OF THE DAY, by Helen Huntington Howe.	14	10
""			
13	SLEEP TILL NOON, by Max Shulman.	13	17
""			
14	HIGH VALLEY, by Charmian Clift And George Johnston.	16	9
""			
15	THE STUBBORN HEART, by Frank G. Slaughter.	11	9
""			
16	THE BIZARRE SISTERS, by Jay Walz.	15	12
This	August 20, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WORDS IN COLLISION, by Immanuel Velikovsky.	2	19
""			
2	ROOSEVELT IN RETROSPECT, by John Gunther.	1	10
""			
3	COURTROOM, by Quentin Reynolds.	3	10
""			
4	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	5	19
""			
5	DIANETICS, by L. Ron Hubbard.	4	10
""			
6	THE LITTLE PRINCESSES, by Marion Crawford.	6	4
""			
7	JOHN ADAMS AND THE AMERICAN REVOLUTION, by Catherine Drinker	7	7
""	Bowen.		
""			
8	THE MATURE MIND, by Harry Allen Overstreet.	8	52
""			
9	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	10	23
""			
10	ELEANOR OF AQUITIANE AND THE FOUR KINGS, by Amy Kelly.	11	8
""			
11	ORDEAL BY SLANDER, by Owen Lattimore.	--	1
""			
12	BEHIND CLOSED DOORS, by Ellis M. Zacharias.	9	2
""			
13	SEEDS OF TREASON, by Ralph de Toledano and Victor Lasky.	12	18
""			
14	THE COCKTAIL PARTY, by T.S. Eliot.	14	22
""			
15	MR. JONES, MEET THE MASTER, by Peter Marshall.	15	32
""			
16	ESCAPE TO ADVENTURE, by Fitzroy MacLean.	--	5
