This	January 22, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	ANDERSONVILLE, by MacKinlay Kantor. (Cleveland: World Publishing.)	1	12
""			
2	MARJORIE MORNINGSTAR, by Herman Wouk. (Doubleday and Company, Inc.)	2	19
""			
3	TEN NORTH FREDERICK, by John O'Hara. (Random House.)	5	7
""			
4	CASH McCALL, by Cameron Hawley. (Houghton and Mifflin.)	4	9
""			
5	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	3	45
""			
6	THE TONTINE, by Thomas B. Costain. (Doubleday.)	6	16
""			
""	THE MAN IN THE GRAY FLANNEL SUIT, by Sloan Wilson. (Simon and		
7		7	26
""	Schuster.)		
""			
8	AN EPISODE OF SPARROWS, by Rumer Godden. (Viking Press.)	8	6
""			
9	BOON ISLAND, by Kenneth Roberts. (Doubleday and Company.)	--	1
""			
10	ISLAND IN THE SUN, by Alec Waugh. (Farrar Straus and Giroux.)	--	1
""			
11	THE DEER PARK, by Norman Mailer. (G.P. Putnam's Sons.)	11	13
""			
12	A CHARMED LIFE, by Mary McCarthy. (Houghton Mifflin Harcourt.)	9	9
""			
13	TENDER VICTORY, by Taylor Caldwell. (McGraw-Hill.)	--	1
""			
14	SOMETHING OF VALUE, by Robert Ruark. (Doubleday and Co.)	12	38
""			
15	NO TIME FOR SERGEANTS, by Mac Hyman. (Random House, Inc.)	13	61
""			
16	THE PROPHET, by Sholem Asch. (G.P. Putmam's Sons.)	16	6
This	January 22, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	1	44
""			
2	INSIDE AFRICA, by John Gunther. (Harper and Brothers.)	2	16
""			
3	A NIGHT TO REMEMBER, by Walter Lord. (Henry Holt and Company.)	4	7
""			
4	THE EDGE OF THE SEA, by Rachel Carson. (Houghton Mifflin.)	3	10
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
5		5	168
""	Inc.)		
""			
""	THE SCROLLS FROM THE DEAD SEA, by Edmund Wilson. (Oxford University		
6		7	11
""	Press.)		
""			
7	MEMOIRS, Vol. 1, by Harry S. Truman. (Doubleday and Co.)	6	10
""			
8	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	9	44
""			
9	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	--	1
""			
10	THE FAMILY OF MAN, by Edward Steichen. (Museum of Modern Art.)	8	33
""			
""	THE NEW YORKER 1950-1955 ALBUM, by New Yorker Magazine. (Harper and		
11		11	13
""	Brothers.)		
""			
12	HERBLOCK'S HERE AND NOW, by Herbert Block. (Simon and Schuster.)	10	4
""			
""	A DEMOCRAT LOOKS AT HIS PARTY, by Dean Gooderham Acheson. (Harper		
13		12	8
""	and Brothers.)		
""			
""	THE SEARCH FOR BRIDEY MURPHY, by Morey Bernstein. (Doubleday and		
14		--	1
""	Company.)		
""			
15	THE EXURBANITES, by A.C. Spectorsky. (J. B. Lippincott.)	16	10
""			
16	A MAN CALLED PETER, by Catherine Marshall. (McGraw-Hill Book Company.)	--	170
