This	November 7, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LOVE IS ETERNAL, by Irving Stone.	1	10
""			
2	MARY ANNE, by Daphne du Maurier.	2	21
""			
3	NOT AS A STRANGER, by Morton Thompson.	3	42
""			
4	KATHERINE, by Anya Seton.	4	4
""			
5	SOLDIER OF FORTUNE, by Ernest Kellogg Gann.	5	3
""			
6	NO TIME FOR SERGEANTS, by Mac Hyman.	6	3
""			
7	THE ROYAL BOX, by Frances Parkinson Keyes.	7	20
""			
8	SWEET THURSDAY, by John Steinbeck.	8	20
""			
9	A FABLE, by William Faulkner.	10	12
""			
10	THE FALL OF A TITAN, by Igor Gouzenko.	9	14
""			
11	THE LONG SHIPS, by Frans G. Bengtsson.	11	5
""			
12	THE DOLLMAKER, by Harriette Arnow.	12	26
""			
13	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	13	26
""			
14	THE VIEW FROM POMPEY'S HEAD, by Hamilton Basso.	--	1
""			
15	REUNION, by Merle Miller.	--	1
""			
16	WHAT DID IT MEAN?, by Angela Thirkell.	--	1
This	November 7, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	105
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	22
""			
3	ABRAHAM LINCOLN, by Carl Sandburg.	4	4
""			
4	CALL TO GREATNESS, by Adlai E. Stevenson.	3	9
""			
5	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	7	17
""			
6	A CHILD OF THE CENTURY, by Ben Hecht.	5	19
""			
7	MELBOURNE, by David Cecil.	11	5
""			
""	MACARTHUR -- 1941-1951, by Major General Charles A. Willoughby and John		
8	Chamberlain.	9	3
""			
9	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	6	34
""			
10	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	8	10
""			
11	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	10	36
""			
12	THEY CALLED HIM STONEWALL, by Burke Davis.	--	1
""			
13	THE REMARKABLE MR. JEROME, by Anita Leslie.	14	4
""			
14	THE INCOMPLEAT POGO, by Walt Kelly.	--	1
""			
15	THE WHITE AND THE GOLD, by Thomas B. Costain.	--	2
""			
16	THE TASTEMAKERS, by Russell Lynes.	--	1
