This	January 25, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	26
""			
2	EAST OF EDEN, by John Steinbeck.	2	17
""			
3	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	3	9
""			
4	GIANT, by Edna Ferber.	4	16
""			
5	THE CAINE MUTINY, by Herman Wouk.	5	93
""			
6	THE WONDERFUL COUNTRY, by Tom Lea.	6	9
""			
7	THE OLD MAN AND THE SEA, by Ernest Hemingway.	7	20
""			
8	THE SOJOURNER, by Marjorie Kinnan Rawlings.	14	2
""			
9	QUEEN'S GIFT, by Inglis Clark Fletcher.	8	12
""			
10	SIRONIA, TEXAS, by Madison Cooper.	9	10
""			
11	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	11	22
""			
12	EXECUTIVE SUITE, by Cameron Hawley.	13	4
""			
13	MEN AT ARMS, by Evelyn Waugh.	16	12
""			
14	THE HOUSES IN BETWEEN, by Howard Spring.	12	37
""			
15	THE VELVET DOUBLET, by James Street.	--	1
""			
16	THE LOTUS AND THE WIND, by John Masters.	--	1
This	January 25, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	15
""			
2	A MAN CALLED PETER, by Catherine Marshall.	3	66
""			
3	HOLY BIBLE: REVISED STANDARD VERSION.	2	15
""			
4	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	4	12
""			
5	ABRAHAM LINCOLN, by Benjamin P. Thomas.	5	9
""			
6	THE LAST RESORTS, by Cleveland Amory.	6	9
""			
7	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	--	1
""			
8	THE BIG CHANGE, by Frederick Lewis Allen.	7	10
""			
9	THIS I BELIEVE, by Edward R. Murrow.	8	6
""			
10	THE HERBLOCK BOOK, by Herbert Block.	11	13
""			
11	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	10	17
""			
12	BEYOND THE HIMALAYAS, by William O. Douglas.	9	14
""			
13	THE SEA AROUND US, by Rachel Carson.	15	80
""			
14	ANNAPURNA, by Maurice Herzog.	--	1
""			
15	A MANY-SPLENDORED THING, by Han Suyin.	14	4
""			
16	THE CROSS AND THE CROWN, by Norman Beasley.	16	5
