This	August 22, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	1	10
""			
2	NOT AS A STRANGER, by Morton Thompson.	2	31
""			
3	SWEET THURSDAY, by John Steinbeck.	3	9
""			
4	THE ROYAL BOX, by Frances Parkinson Keyes.	4	9
""			
5	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	5	15
""			
6	A FABLE, by William Faulkner.	--	1
""			
7	THE DOLLMAKER, by Harriette Arnow.	7	15
""			
8	THE FALL OF A TITAN, by Igor Gouzenko.	6	3
""			
9	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	9	11
""			
10	BLESS THIS HOUSE, by Norah Lofts.	8	20
""			
11	DON CAMILLO'S DILEMMA, by Giovanni Guareschi.	15	5
""			
12	THE HEALING OATH, by Andre Soubiran.	--	1
""			
13	AWAY ALL BOATS, by Kenneth Dodson.	11	23
""			
14	THE SONG OF RUTH, by Frank G. Slaughter.	12	16
""			
15	MR. HOBBS' VACATION, by Edward Streeter.	10	11
""			
16	A WREATH FOR THE ENEMY, by Pamela Frankau.	14	6
This	August 22, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	94
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	3	11
""			
3	A CHILD OF THE CENTURY, by Ben Hecht.	4	8
""			
4	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	25
""			
5	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	5	23
""			
6	MINUTES OF THE LAST MEETING, by Gene Fowler.	6	18
""			
7	MADAME DE POMPADOUR, by Nancy Mitford.	7	9
""			
8	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	8	22
""			
9	THE REASON WHY, by Cecil Woodham-Smith.	11	14
""			
10	CELL 2455 DEATH ROW, by Caryl Chessman.	9	13
""			
11	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	10	6
""			
12	FUTURE INDEFINITE, by Noel Coward.	14	3
""			
13	SECOND TREE FROM THE CORNER, by E.B. White.	16	29
""			
14	OF WHALES AND MEN, by R.B. Robertson.	13	7
""			
15	JOURNEY TO THE FAR AMAZON, by Alain Gheerbrant.	12	7
""			
16	ANIMALS, MEN AND MYTHS, by Richard Lewinsohn.	15	4
