This	November 9, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	EAST OF EDEN, by John Steinbeck.	1	6
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	15
""			
3	GIANT, by Edna Ferber.	3	5
""			
4	THE CAINE MUTINY, by Herman Wouk.	5	82
""			
5	THE OLD MAN AND THE SEA, by Ernest Hemingway.	4	9
""			
6	THE HOUSES IN BETWEEN, by Howard Spring.	6	26
""			
7	MATADOR, by Barnaby Conrad.	8	18
""			
8	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	7	11
""			
9	PRISONER OF GRACE, by Joyce Cary.	11	2
""			
10	MEN AT ARMS, by Evelyn Waugh.	13	2
""			
11	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	9	32
""			
12	KISS ME, DEADLY, by Mickey Spillane.	--	1
""			
13	CHARLOTTE'S WEB, by E.B. White.	--	1
""			
14	THE FAR COUNTRY, by Nevil Shute.	10	7
""			
15	THE MAN ON A DONKEY, by H.F.M. Prescott.	16	3
""			
16	QUEEN'S GIFT, by Inglis Clark Fletcher.	--	1
This	November 9, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	4
""			
2	A MAN CALLED PETER, by Catherine Marshall.	2	55
""			
3	HOLY BIBLE: REVISED STANDARD VERSION.	3	4
""			
4	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	4	6
""			
5	THE SEA AROUND US, by Rachel Carson.	5	69
""			
6	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	7	19
""			
7	THE GREAT ENTERPRISE, by H.A. Overstreet.	8	11
""			
8	WITNESS, by Whittaker Chambers.	6	24
""			
9	THE DEVILS OF LOUDUN, by Aldous Huxley.	10	3
""			
10	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	13	13
""			
11	I GO POGO, by Walt Kelly.	12	8
""			
12	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	--	1
""			
13	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	9	24
""			
14	FROM UNDER MY HAT, by Hedda Hopper.	--	6
""			
15	THE HERBLOCK BOOK, by Herbert Block.	16	2
""			
""	HOW TO SUCCEED IN BUISNESS WITHOUT REALLY TRYING, by Shepherd		
16	Mead.	14	9
