This	October 4, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	36
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	2	10
""			
3	BATTLE CRY, by Leon Uris.	3	21
""			
4	TIME AND TIME AGAIN, by James Hilton.	5	5
""			
5	TOO LATE THE PHALAROPE, by Alan Paton.	4	5
""			
6	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	6	22
""			
7	THE UNCONQUERED, by Ben Ames Williams.	7	4
""			
8	COME, MY BELOVED, by Pearl S. Buck.	8	6
""			
9	THE DARK ANGEL, by Mika Waltari.	9	16
""			
10	THE BRIDGES AT TOKO-RI, by James A. Michener.	10	10
""			
11	THE ADVENTURES OF AUGIE MARCH, by Saul Bellow.	--	1
""			
12	KINGFISHERS CATCH FIRE, by Rumer Godden.	15	17
""			
13	THE EMPEROR'S LADY, by F.W. Kenyon.	--	15
""			
14	FROM HERE TO ETERNITY, by James Jones.	13	62
""			
15	SATAN IN THE SUBURBS, by Bertrand Russell.	14	5
""			
16	HORNBLOWER AND THE ATROPOS, by C.S. Forester.	--	1
This	October 4, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	48
""			
2	A HOUSE IS NOT A HOME, by Polly Adler.	2	16
""			
3	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	3	2
""			
4	A MAN CALLED PETER, by Catherine Marshall.	4	102
""			
5	LELIA, by Andre Maurois.	14	2
""			
6	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	5	21
""			
7	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	--	1
""			
8	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	7	33
""			
9	FATHER, DEAR FATHER, by Ludwig Bemelmans.	10	4
""			
10	PERIOD PIECE, by Gwen Raverat.	11	5
""			
11	ANNAPURNA, by Maurice Herzog.	6	37
""			
12	HOLY BIBLE: REVISED STANDARD VERSION.	9	51
""			
13	CALL ME LUCKY, by Bing Crosby.	8	12
""			
14	INDIA AND THE AWAKENING EAST, by Eleanor Roosevelt.	12	8
""			
15	HORN OF THE HUNTER, by Robert Ruark.	16	5
""			
16	GONE WITH THE WINDSORS, by Iles Brody.	--	1
