This	December 19, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LOVE IS ETERNAL, by Irving Stone.	1	16
""			
2	THE VIEW FROM POMPEY'S HEAD, by Hamilton Basso.	2	7
""			
3	KATHERINE, by Anya Seton.	3	10
""			
4	SOLDIER OF FORTUNE, by Ernest Kellogg Gann.	5	9
""			
5	NO TIME FOR SERGEANTS, by Mac Hyman.	4	9
""			
6	MY BROTHER'S KEEPER, by Marcia Davenport.	8	6
""			
7	MARY ANNE, by Daphne du Maurier.	6	27
""			
8	NOT AS A STRANGER, by Morton Thompson.	7	48
""			
9	GOOD MORNING, MISS DOVE, by Frances Gray Patton.	9	4
""			
10	HADRIAN'S MEMOIRS, by Marguerite Yourcenar.	12	2
""			
11	BENTON'S ROW, by Frank Yerby.	--	1
""			
12	BLUE HURRICANE, by F. Van Wyck Mason.	10	5
""			
13	THE FALL OF A TITAN, by Igor Gouzenko.	13	20
""			
14	THE BULLS OF PARRAL, by Marguerite Steen.	16	2
""			
15	JONATHAN BLAIR, by William Donahue Ellis.	15	2
""			
16	SWEET THURSDAY, by John Steinbeck.	--	25
This	December 19, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	111
""			
2	THE TUMULT AND THE SHOUTING, by Grantland Rice.	3	5
""			
3	ABRAHAM LINCOLN, by Carl Sandburg.	2	10
""			
4	I'LL CRY TOMORROW, by Lillian Roth.	4	28
""			
5	THE SATURDAY EVENING POST TREASURY, by Roger Butterfield.	6	5
""			
6	MY SEVERAL WORLDS, by Pearl S. Buck.	8	4
""			
7	CALL TO GREATNESS, by Adlai E. Stevenson.	5	15
""			
8	R.S.V.P. ELSA MAXWELL'S OWN STORY, by Elsa Maxwell.	7	6
""			
9	THE PRAYERS OF PETER MARSHALL, by Catherine Marshall.	9	4
""			
10	MELBOURNE, by David Cecil.	10	11
""			
11	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	11	23
""			
12	AN ENCYCLOPEDIA OF MODERN AMERICAN HUMOR, by Bennett Cerf.	--	1
""			
13	AN ALMANAC OF LIBERTY, by William O. Douglas.	--	1
""			
14	ATOMS IN THE FAMILY, by Laura Fermi.	--	2
""			
15	THIS IS BELIEVE: 2, by Raymond Swing.	15	5
""			
16	THE LOVE LETTERS OF PHYLLIS McGINLEY, by Phyllis McGinley.	--	2
