This	September 12, 1954	Last	Wee
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	1	13
""			
2	NOT AS A STRANGER, by Morton Thompson.	2	34
""			
3	SWEET THURSDAY, by John Steinbeck.	3	12
""			
4	A FABLE, by William Faulkner.	5	4
""			
5	THE ROYAL BOX, by Frances Parkinson Keyes.	4	12
""			
6	LOVE IS ETERNAL, by Irving Stone.	16	2
""			
7	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	6	18
""			
8	THE FALL OF A TITAN, by Igor Gouzenko.	7	6
""			
9	THE DOLLMAKER, by Harriette Arnow.	8	18
""			
10	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	9	14
""			
11	MR. HOBBS' VACATION, by Edward Streeter.	10	14
""			
12	THE HEALING OATH, by Andre Soubiran.	11	4
""			
13	THE SONG OF RUTH, by Frank G. Slaughter.	15	19
""			
14	A WREATH FOR THE ENEMY, by Pamela Frankau.	13	8
""			
15	AWAY ALL BOATS, by Kenneth Dodson.	--	25
""			
16	BLESS THIS HOUSE, by Norah Lofts.	14	23
This	September 12, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	97
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	14
""			
3	A CHILD OF THE CENTURY, by Ben Hecht.	3	11
""			
4	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	4	28
""			
5	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	5	26
""			
6	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	6	9
""			
7	CALL TO GREATNESS, by Adlai E. Stevenson.	--	1
""			
8	MADAME DE POMPADOUR, by Nancy Mitford.	10	12
""			
9	MINUTES OF THE LAST MEETING, by Gene Fowler.	7	21
""			
10	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	14	2
""			
11	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	8	25
""			
12	THE REASON WHY, by Cecil Woodham-Smith.	11	17
""			
13	CELL 2455 DEATH ROW, by Caryl Chessman.	9	16
""			
14	FUTURE INDEFINITE, by Noel Coward.	12	6
""			
15	REACH FOR THE SKY, by Paul Brickhill.	13	3
""			
16	OF WHALES AND MEN, by R.B. Robertson.	--	9
