This	November 30, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	EAST OF EDEN, by John Steinbeck.	1	9
""			
2	GIANT, by Edna Ferber.	3	8
""			
3	THE SILVER CHALICE, by Thomas B. Costain.	2	18
""			
4	THE CAINE MUTINY, by Herman Wouk.	4	85
""			
5	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	--	1
""			
6	THE OLD MAN AND THE SEA, by Ernest Hemingway.	5	12
""			
7	SIRONIA, TEXAS, by Madison Cooper.	9	2
""			
8	THE HOUSES IN BETWEEN, by Howard Spring.	6	29
""			
9	THE WONDERFUL COUNTRY, by Tom Lea.	--	1
""			
10	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	8	14
""			
11	THE FAR COUNTRY, by Nevil Shute.	14	10
""			
12	QUEEN'S GIFT, by Inglis Clark Fletcher.	12	4
""			
13	KISS ME, DEADLY, by Mickey Spillane.	15	4
""			
14	PRISONER OF GRACE, by Joyce Cary.	16	5
""			
15	CONFESSORS OF THE NAME, by Gladys Schmitt.	11	3
""			
16	MEN AT ARMS, by Evelyn Waugh.	7	5
This	November 30, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	7
""			
2	HOLY BIBLE: REVISED STANDARD VERSION.	2	7
""			
3	A MAN CALLED PETER, by Catherine Marshall.	3	58
""			
4	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	4	9
""			
5	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	6	4
""			
6	THE SEA AROUND US, by Rachel Carson.	5	72
""			
7	THE LAST RESORTS, by Cleveland Amory.	--	1
""			
8	THE GREAT ENTERPRISE, by H.A. Overstreet.	7	14
""			
9	ABRAHAM LINCOLN, by Benjamin P. Thomas.	--	1
""			
10	THE BIG CHANGE, by Frederick Lewis Allen.	13	2
""			
11	BEYOND THE HIMALAYAS, by William O. Douglas.	9	6
""			
12	THE DEVILS OF LOUDUN, by Aldous Huxley.	10	6
""			
13	THE HERBLOCK BOOK, by Herbert Block.	11	5
""			
14	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	8	22
""			
15	I GO POGO, by Walt Kelly.	12	11
""			
16	THE CROSS AND THE CROWN, by Norman Beasley.	--	1
