This	November 19, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	ACROSS THE RIVER AND INTO THE TREES, by Ernest Hemingway.	1	9
""			
2	THE CARDINAL, by Henry Morton Robinson.	2	33
""			
3	THE ADVENTURER, by Mika Waltari.	3	7
""			
4	THE DISENCHANTED, by Budd Schulberg.	11	3
""			
5	SON OF A HUNDRED KINGS, by Thomas B. Costain.	6	2
""			
6	FLOODTIDE, by Frank Yerby.	4	12
""			
7	THE SPANISH GARDENER, by A.J. Cronin.	5	10
""			
8	THE LITTLE WORLD OF DON CAMILLO, by Giovanni Guareschi.	9	11
""			
9	THE WIDOW, by Susan Yorke.	7	5
""			
10	JUBILEE TRAIL, by Gwen Bristow.	8	39
""			
11	BENNETT'S WELCOME, by Inglis Fletcher.	14	3
""			
12	OWEN GLEN, by Ben Ames Williams.	12	10
""			
13	CHAMPION ROAD, by Frank Tilsley.	13	5
""			
14	THE SIGN OF JONAH, by Nancy Hale.	16	2
""			
15	HELENA, by Evelyn Waugh.	10	3
""			
16	A FEARFUL JOY, by Joyce Cary	15	4
This	November 19, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	KON-TIKI, by Thor Heyerdahl.	1	10
""			
2	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	2	32
""			
3	BELLES ON THEIR TOES, by Frank B. Gilbreth and Ernestine Gilbreth Carey.	4	5
""			
4	COURTROOM, by Quentin Reynolds.	3	23
""			
5	BEHIND THE FLYING SAUCERS, by Frank Scully.	5	8
""			
6	NUTS IN MAY, by Cornelia Otis Skinner.	7	5
""			
7	DIANETICS, by L. Ron Hubbard.	6	23
""			
8	THE MATURE MIND, by Harry Allen Overstreet.	8	65
""			
9	THE LITTLE PRINCESSES, by Marion Crawford.	12	17
""			
10	CALCULATED RISK, by Mark W. Clark.	16	2
""			
11	PRESIDENTS WHO HAVE KNOWN ME, by George E. Allen.	10	3
""			
12	THE MAN OF INDEPENDENCE, by Jonathan Daniels.	13	5
""			
13	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	--	35
""			
14	HOW TO LAY A NEST EGG, by Edgar Scott.	--	1
""			
15	LIFT UP YOUR HEART, by Fulton J. Sheen.	--	3
""			
16	TRUMAN MERRY-GO-ROUND, by Robert S. Allen and William V. Shannon.	9	6
