This		May 3, 1953	Last	Week
Week		Fiction	Week	On Li
""				
1	DESIREE, by Annemarie Selinko.		1	14
""				
2	THE SILVER CHALICE, by Thomas B. Costain.		2	40
""				
3	GOLDEN ADMIRAL, by Francis Van Wyck Mason.		3	9
""				
4	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.		7	23
""				
5	KISS ME AGAIN, STRANGER, by Daphne du Maurier.		5	6
""				
6	EAST OF EDEN, by John Steinbeck.		6	31
""				
7	PRINCE BART, by Jay Richard Kennedy.		4	6
""				
8	THE CAINE MUTINY, by Herman Wouk.		8	107
""				
9	NINE STORIES, by J.D. Salinger.		10	2
""				
10	THE GREEN MAN, by Storm Jameson.		14	5
""				
11	HOTEL TALLYRAND, by Paul Hyde Bonner.		16	2
""				
12	FAR FROM CUSTOMARY SKIES, by Warren Eyster.		15	2
""				
13	THE SECOND HAPPIEST DAY, by John Phillips.		9	12
""				
14	STEPHANIA, by Ilona Karmel.		11	2
""				
15	CORPUS OF JOE BAILEY, by Oakley Hall.		--	1
""				
16	CRIMSON IS THE EASTERN SHORE, by Don Tracy.		--	1
This	May 3, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	1	15
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	26
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	11
""			
4	HOLY BIBLE: REVISED STANDARD VERSION.	4	29
""			
5	A MAN CALLED PETER, by Catherine Marshall.	7	80
""			
6	THIS I BELIEVE, by Edward R. Murrow.	5	20
""			
7	THE WORLD AND THE WEST, by Arnold Toynbee.	6	4
""			
8	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	9	2
""			
9	PRINCE OF PLAYERS, by Eleanor Ruggles.	10	7
""			
10	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	--	1
""			
11	THE SIGN OF JONAS, by Thomas Merton.	8	10
""			
12	THE WHITE RABBIT, by Bruce Marshall.	13	8
""			
13	POSTCARDS FROM DELAPLANE, by Stanton Delaplane.	14	3
""			
14	THE LAST RESORTS, by Cleveland Amory.	--	22
""			
15	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	12	15
""			
16	THE LEGENDARY MIZNERS, by Alva Johnston.	--	1
