This		March 26, 1950	Last	Weeks
Week		Fiction	Week	On List
""				
1	THE WALL, by John Hersey.		4	3
""				
2	THE PARASITES, by Daphne du Maurier.		1	11
""				
3	THE EGYPTIAN, by Mika Waltari.		2	29
""				
4	THE KING'S CAVALIER, by Samuel Shellabarger.		3	10
""				
5	THE HORSE'S MOUTH, by Joyce Cary.		5	7
""				
6	JUBILEE TRAIL, by Gwen Bristow.		7	5
""				
7	GENTIAN HILL, by Elizabeth Goudge.		6	11
""				
8	MARY, by Sholem Asch.		8	23
""				
9	A RAGE TO LIVE, by John O'Hara.		9	30
""				
10	ONE ON THE HOUSE, by Mary Lasswell.		10	16
""				
11	THE STRANGE LAND, by Ned Calmer.		14	5
""				
12	THE SEA EAGLES, by John Jennings.		--	2
""				
13	THE PINK HOUSE, by Nelia Gardner White.		11	2
""				
14	THE DIPLOMAT, by James Aldridge.		12	2
""				
15	I, MY ANCESTOR, by Nancy Wilson Ross.		13	6
""				
16	MINGO DABNEY, by James H. Street.		16	2
This	March 26, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MATURE MIND, by Harry Allen Overstreet.	1	31
""			
2	THE BABY, by Simon & Schuster	3	4
""			
3	THIS I REMEMBER, by Eleanor Roosevelt.	2	18
""			
4	HOME SWEET ZOO, by Clare Barnes.	4	15
""			
5	THE PEABODY SISTERS OF SALEM, by Louise Hall Tharp.	6	9
""			
6	I LEAP OVER THE WALL, by Monica Baldwin.	7	6
""			
7	MR. JONES, MEET THE MASTER, by Peter Marshall.	9	12
""			
8	WHITE COLLAR ZOO, by Clare Barnes.	5	36
""			
9	THE ROAD AHEAD, by John T. Flynn.	10	8
""			
10	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	13	2
""			
11	A GUIDE TO CONFIDENT LIVING, by Norman Vincent Peale.	15	77
""			
12	MY THREE YEARS IN MOSCOW, by Walter Bedell Smith.	11	10
""			
13	DECISION IN GERMANY, by Lucius Du Bignon Clay.	8	5
""			
14	THE GREATEST STORY EVER TOLD, by Fulton Oursler.	16	39
""			
15	AMERICAN FREEDOM AND CATHOLIC POWER, by Paul Blanshard.	12	34
""			
16	THE COCKTAIL PARTY, by T.S. Eliot.	--	1
