This	March 15, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	7
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	33
""			
3	EAST OF EDEN, by John Steinbeck.	3	24
""			
4	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	4	16
""			
5	THE SECOND HAPPIEST DAY, by John Phillips.	5	5
""			
6	THE CAINE MUTINY, by Herman Wouk.	7	100
""			
7	THE SOJOURNER, by Marjorie Kinnan Rawlings.	8	9
""			
8	GIANT, by Edna Ferber.	6	23
""			
9	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	14	2
""			
10	THE VELVET DOUBLET, by James Street.	9	8
""			
11	THE GALILEANS, by Frank G. Slaughter.	11	7
""			
12	EXECUTIVE SUITE, by Cameron Hawley.	15	11
""			
13	I AND MY TRUE LOVE, by Helen MacInnes.	12	2
""			
14	THE WONDERFUL COUNTRY, by Tom Lea.	16	16
""			
15	TO THE MOMENT OF TRIUMPH, by Pamela Frankau.	10	5
""			
16	LOVE FOR LYDIA, by H.E. Bates.	--	3
This	March 15, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	1	8
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	19
""			
3	THIS I BELIEVE, by Edward R. Murrow.	5	13
""			
4	HOLY BIBLE: REVISED STANDARD VERSION.	3	22
""			
5	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	6	4
""			
6	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	4	8
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	73
""			
8	TALLULAH, by Tallulah Bankhead.	8	22
""			
9	THE LAST RESORTS, by Cleveland Amory.	9	16
""			
10	THE FABULOUS FANNY, by Norman Katkov.	--	1
""			
11	A MANY-SPLENDORED THING, by Han Suyin.	13	11
""			
12	THE SIGN OF JONAS, by Thomas Merton.	11	3
""			
13	ABRAHAM LINCOLN, by Benjamin P. Thomas.	10	16
""			
14	THE WHITE RABBIT, by Bruce Marshall.	--	1
""			
15	THE SECOND SEX, by Simone de Beauvoir.	--	1
""			
16	MARY LINCOLN, by Ruth Randall.	14	3
