This	April 12, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	11
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	37
""			
3	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	4	6
""			
4	EAST OF EDEN, by John Steinbeck.	5	28
""			
5	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	3	20
""			
6	THE SECOND HAPPIEST DAY, by John Phillips.	6	9
""			
7	THE CAINE MUTINY, by Herman Wouk.	8	104
""			
8	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	9	3
""			
9	PRINCE BART, by Jay Richard Kennedy.	7	3
""			
10	THE GALILEANS, by Frank G. Slaughter.	13	11
""			
11	THE SOJOURNER, by Marjorie Kinnan Rawlings.	10	13
""			
12	THE STONES OF THE HOUSE, by Theodore Morrison.	11	4
""			
13	I AND MY TRUE LOVE, by Helen MacInnes.	--	5
""			
14	THE VELVET DOUBLET, by James Street.	14	12
""			
15	THE GREEN MAN, by Storm Jameson.	16	2
""			
16	THE OUTSIDER, by Richard A. Wright.	--	1
This	April 12, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	1	12
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	23
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	8
""			
4	HOLY BIBLE: REVISED STANDARD VERSION.	4	26
""			
5	THIS I BELIEVE, by Edward R. Murrow.	5	17
""			
6	A MAN CALLED PETER, by Catherine Marshall.	6	77
""			
7	THE SIGN OF JONAS, by Thomas Merton.	9	7
""			
8	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	7	12
""			
9	THE WHITE RABBIT, by Bruce Marshall.	10	5
""			
10	PRINCE OF PLAYERS, by Eleanor Ruggles.	8	4
""			
11	ANGEL UNAWARE, by Dale Evans Rogers.	--	1
""			
12	THE FABULOUS FANNY, by Norman Katkov.	11	5
""			
13	TALLULAH, by Tallulah Bankhead.	13	26
""			
14	POSTCARDS FROM DELAPLANE, by Stanton Delaplane.	--	1
""			
15	THE LAST RESORTS, by Cleveland Amory.	14	20
""			
16	THE WORLD AND THE WEST, by Arnold Toynbee.	--	1
