This	July 18, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	26
""			
2	MARY ANNE, by Daphne du Maurier.	2	5
""			
3	THE ROYAL BOX, by Frances Parkinson Keyes.	4	4
""			
4	SWEET THURSDAY, by John Steinbeck.	5	4
""			
5	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	3	10
""			
6	BLESS THIS HOUSE, by Norah Lofts.	6	15
""			
7	THE DOLLMAKER, by Harriette Arnow.	7	10
""			
8	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	8	6
""			
9	AWAY ALL BOATS, by Kenneth Dodson.	9	18
""			
10	THE SONG OF RUTH, by Frank G. Slaughter.	10	11
""			
11	MR. HOBBS' VACATION, by Edward Streeter.	11	6
""			
12	A WREATH FOR THE ENEMY, by Pamela Frankau.	--	1
""			
13	PICTURES FROM AN INSTITUTION, by Randall Jarrell.	12	6
""			
14	THE BAD SEED, by William March.	16	6
""			
15	THE WORLD IN THE EVENING, by Christopher Isherwood.	13	3
""			
16	MRS. CANDY STRIKES IT RICH, by Robert Tallant.	--	1
This	July 18, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	89
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	20
""			
3	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	3	18
""			
4	I'LL CRY TOMORROW, by Lillian Roth.	5	6
""			
5	MINUTES OF THE LAST MEETING, by Gene Fowler.	4	13
""			
6	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	7	17
""			
7	A CHILD OF THE CENTURY, by Ben Hecht.	8	3
""			
8	THE REASON WHY, by Cecil Woodham-Smith.	6	9
""			
9	CELL 2455 DEATH ROW, by Caryl Chessman.	11	8
""			
10	MADAME DE POMPADOUR, by Nancy Mitford.	9	4
""			
11	SECOND TREE FROM THE CORNER, by E.B. White.	10	24
""			
12	JOURNEY TO THE FAR AMAZON, by Alain Gheerbrant.	--	2
""			
13	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	--	1
""			
14	OF WHALES AND MEN, by R.B. Robertson.	--	2
""			
15	ANIMALS, MEN AND MYTHS, by Richard Lewinsohn.	--	1
""			
16	THE TAFT STORY, by William S. White.	14	11
