This	December 13, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	LORD VANITY, by Samuel Shellabarger.	1	6
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	2	20
""			
3	TIME AND TIME AGAIN, by James Hilton.	3	15
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	32
""			
5	DESIREE, by Annemarie Selinko.	5	46
""			
6	THE LADY OF ARLINGTON, by Harnett T. Kane.	8	9
""			
7	THE UNCONQUERED, by Ben Ames Williams.	7	14
""			
8	BATTLE CRY, by Leon Uris.	10	31
""			
9	THE FEMALE, by Paul Wellman.	9	9
""			
10	TOO LATE THE PHALAROPE, by Alan Paton.	6	15
""			
11	THE SHADOWS OF THE IMAGES, by William E. Barrett.	14	4
""			
12	LOVE IS A BRIDGE, by Charles Bracelen Flood.	--	5
""			
13	THE ROBE, by Lloyd C. Douglas.	11	167
""			
14	THE DEVIL'S LAUGHTER, by Frank Yerby.	12	9
""			
15	THE DOCTORS, by Andre Soubiran.	13	2
""			
16	A PASSAGE IN THE NIGHT, by Sholem Asch.	--	2
This	December 13, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	58
""			
2	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	2	11
""			
3	LIFE IS WORTH LIVING, by Fulton J. Sheen.	5	6
""			
4	LELIA, by Andre Maurois.	3	12
""			
5	GONE WITH THE WINDSORS, by Iles Brody.	4	11
""			
6	A HOUSE IS NOT A HOME, by Polly Adler.	6	26
""			
7	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	8	7
""			
8	PERIOD PIECE, by Gwen Raverat.	10	15
""			
9	A MAN CALLED PETER, by Catherine Marshall.	7	112
""			
10	FIRE IN THE ASHES, by Theodore Harold White.	9	2
""			
11	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	16	7
""			
12	FABULOUS CHICAGO, by Emmett Dedmon.	11	4
""			
13	HOLY BIBLE: REVISED STANDARD VERSION.	--	59
""			
14	THE GREATEST FAITH EVER KNOWN, by Fulton Oursler.	14	3
""			
15	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	12	12
""			
16	DON'T CALL IT FRISCO, by Herb Caen.	15	3
