This	July 1, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	1	17
""			
2	THE CAINE MUTINY, by Herman Wouk.	2	11
""			
3	RETURN TO PARADISE, by James A. Michener.	3	9
""			
4	PROUD NEW FLAGS, by F. Van Wyck Mason.	4	9
""			
5	A WOMAN CALLED FANCY, by Frank Yerby.	5	6
""			
6	THE FOUNDLING, by Francis Cardinal Spellman.	6	4
""			
7	THE TROUBLED AIR, by Irwin Shaw.	14	2
""			
8	THIS IS THE HOUR, by Lion Feuchtwanger.	8	4
""			
9	JOY STREET, by Frances Parkinson Keyes.	7	30
""			
10	FESTIVAL, by J.B. Priestley.	9	11
""			
11	GOD'S MEN, by Pearl S. Buck.	10	10
""			
12	APRIL SNOW, by Lillian Budd.	11	3
""			
13	THE HIGH CALLING, by James Street.	--	1
""			
14	OLD HERBACEOUS, by Reginald Arkell.	--	16
""			
15	BARBARY SHORE, by Norman Mailer.	12	3
""			
16	THE DISENCHANTED, by Budd Schulberg.	13	35
This		July 1, 1951	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	KON-TIKI, by Thor Heyerdahl.		2	42
""				
2	A KING'S STORY, by Edward Windsor, Duke of Windsor.		3	10
""				
3	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.		1	16
""				
4	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.		4	15
""				
5	BETTER HOMES AND GARDENS GARDEN BOOK, by Fleeta Brownell		5	11
""	Woodroffe.			
""				
6	THE CHINA STORY, by Freda Utley.		6	5
""				
7	ROMMEL, THE DESERT FOX, by Desmond Young.		8	22
""				
8	COMMUNISM, DEMOCRACY, AND CATHOLIC POWER, by Paul Blanshard.		10	4
""				
9	WE BARRYMORES, by Lionel Barrymore and Cameron Shipp.		7	5
""				
10	MY SIX CONVICTS, by Donald Powell Wilson.		9	20
""				
11	A SOLDIER'S STORY, by Omar Nelson Bradley.		--	1
""				
12	CABLE CAR CARNIVAL, by Lucius Beebe and Charles Clegg.		--	1
""				
13	THE RIDDLE OF MACARTHUR, by John Gunther.		15	17
""				
14	OUT OF THIS WORLD, by Lowell Thomas Jr.		11	28
""				
15	THE BETTY CROCKER PICTURE COOK BOOK, by General Mills.		--	1
""				
16	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.		--	63
