This	October 26, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	13
""			
2	EAST OF EDEN, by John Steinbeck.	2	4
""			
3	GIANT, by Edna Ferber.	5	3
""			
4	THE CAINE MUTINY, by Herman Wouk.	3	80
""			
5	THE OLD MAN AND THE SEA, by Ernest Hemingway.	4	7
""			
6	THE HOUSES IN BETWEEN, by Howard Spring.	6	24
""			
7	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	9	30
""			
8	MATADOR, by Barnaby Conrad.	7	16
""			
9	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	8	9
""			
10	THE FAR COUNTRY, by Nevil Shute.	13	5
""			
11	THE MAN ON A DONKEY, by H.F.M. Prescott.	--	1
""			
12	SCOLLAY SQUARE, by Pearl Schiff.	16	3
""			
13	THE SINNER OF SAINT AMBROSE, by Robert Reynolds.	11	9
""			
14	THE DISTANT SHORE, by Jan de Hartog.	10	7
""			
15	HEMLOCK AND AFTER, by Angus Wilson.	15	2
""			
16	THE STORIES OF FRANK O'CONNER, by Frank O'Conner.	--	5
This	October 26, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	2	2
""			
2	A MAN CALLED PETER, by Catherine Marshall.	1	53
""			
3	HOLY BIBLE: REVISED STANDARD VERSION.	7	2
""			
4	THE SEA AROUND US, by Rachel Carson.	3	67
""			
5	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	5	4
""			
6	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	4	17
""			
7	WITNESS, by Whittaker Chambers.	6	22
""			
8	THE GREAT ENTERPRISE, by H.A. Overstreet.	8	9
""			
9	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	14	22
""			
10	FROM UNDER MY HAT, by Hedda Hopper.	11	5
""			
11	BEYOND THE HIMALAYAS, by William O. Douglas.	9	2
""			
12	I GO POGO, by Walt Kelly.	10	6
""			
13	POSTMARKED MOSCOW, by Lydia Kirk.	13	12
""			
""	HOW TO SUCCEED IN BUISNESS WITHOUT REALLY TRYING, by Shepherd		
14	Mead.	12	7
""			
15	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	16	11
""			
16	THE DEVILS OF LOUDUN, by Aldous Huxley.	--	1
