This	June 30, 1957	Last	Weeks
Week	Fiction	Week	On List
""			
1	PEYTON PLACE, by Grace Metalious. (Simon and Schuster, Inc.)	2	40
""			
2	THE SCAPEGOAT, by Daphne du Maurier. (Doubleday and Co.)	1	18
""			
3	COMPULSION, by Meyer Levin. (Simon and Schuster.)	3	33
""			
4	THE LAST ANGRY MAN, by Gerald Green. (Charles Scribner's Sons.)	5	19
""			
5	BLUE CAMELLIA, by Frances Parkinson Keyes. (Julian Messner Inc.)	4	22
""			
6	SILVER SPOON, by Edwin Gilbert. (Lippencott.)	6	6
""			
7	THE SHORT REIGN OF PIPPIN IV, by John Steinbeck. (Viking.)	7	9
""			
8	THE TOWN, by William Faulkner. (Random House.)	8	7
""			
9	THE LADY, by Conrad Richter. (Alfred A. Knopf.)	13	3
""			
10	FAR, FAR THE MOUNTAIN PEAK, by John Masters. (Viking Books.)	9	7
""			
11	THE WONDERFUL O., by James Thurber. (Simon and Schuster.)	14	3
""			
12	SAY, DARLING, by Richard Bissell. (Little, Brown and Company.)	11	12
""			
13	THE WAPSHOT CHRONICLE, by John Cheever. (Harper and Row.)	12	12
""			
14	THE PHILADELPHIAN, by Richard Powell. (Charles Scribner's Sons.)	10	24
""			
15	THE TOWERS OF TREBIZOND, by Rose Macaulay. (Farrar, Straus and Cudahy.)	--	8
""			
16	THE FLOWER DRUM SONG, by C.Y. Lee. (Farrar, Straus and Cudahy.)	--	1
This	June 30, 1957	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE DAY CHRIST DIED, by Jim Bishop. (Harper and Brothers.)	1	6
""			
2	THE INNOCENT AMBASSADORS, by Philip Wylie. (Rinehart and Company.)	3	7
""			
3	DAY OF INFAMY, by Walter Lord. (Henry Holt and Company.)	2	12
""			
4	THE FBI STORY, by Don Whitehead. (Random House.)	4	29
""			
5	THE TURN OF THE TIDE, by Arthur Bryant. (Doubleday and Co. Inc.)	8	5
""			
6	STAY ALIVE ALL YOUR LIFE, by Norman Vincent Peale. (Prentice-Hall, Inc.)	6	13
""			
7	THE HIDDEN PERSUADERS, by Vance Packard. (David McKay Company.)	7	5
""			
8	THE NUN'S STORY, by Kathryn Hulme. (Little, Brown and Company.)	5	40
""			
9	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	9	73
""			
10	SILVER PLATTER, by Ellin Berlin. (Doubleday.)	12	4
""			
11	THE ORGANIZATION MAN, by William H. Whyte Jr. (Simon and Schuster.)	10	21
""			
12	TAKE MY LIFE, by Eddie Cantor. (Doubleday.)	14	2
""			
13	I'D DO IT AGAIN, by James Michael Curley. (Prentice-Hall, Inc.)	--	1
""			
14	TOO MUCH, TOO SOON, by Diana Barrymore and Gerold Frank. (Henry Holt.)	11	10
""			
15	FAITH ON THE MARCH, by A.H. Macmillan. (Prentice-Hall, Inc.)	13	5
""			
16	GYPSY, by Gypsy Rose Lee. (Harper and Brothers.)	16	5
