This	January 22, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE EGYPTIAN, by Mika Waltari.	1	20
""			
2	MARY, by Sholem Asch.	2	14
""			
3	A RAGE TO LIVE, by John O'Hara.	3	21
""			
4	THE PARASITES, by Daphne du Maurier.	11	2
""			
5	THE WAY WEST, by A.B. Guthrie Jr.	4	13
""			
6	ONE ON THE HOUSE, by Mary Lasswell.	5	7
""			
7	GENTIAN HILL, by Elizabeth Goudge.	13	2
""			
8	THE WOMAN OF ROME, by Alberto Moravia.	6	9
""			
9	THE MUDLARK, by Theodore Bonnet.	7	21
""			
10	THE SHELTERING SKY, by Paul Bowles.	9	4
""			
11	THE MAN WITH THE GOLDEN ARM, by Nelson Algren.	8	17
""			
12	THE KING'S CAVALIER, by Samuel Shellabarger.	--	1
""			
13	PRINCE OF EGYPT, by Dorothy Clarke Wilson.	14	5
""			
14	THE BIG FISHERMAN, by Lloyd C. Douglas.	10	60
""			
15	LET LOVE COME LAST, by Taylor Caldwell.	15	23
""			
16	LITTLE BOY LOST, by Marghanita Laski	--	1
This	January 22, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THIS I REMEMBER, by Eleanor Roosevelt.	1	9
""			
2	WHITE COLLAR ZOO, by Clare Barnes.	2	27
""			
3	HOME SWEET ZOO, by Clare Barnes.	3	6
""			
4	THE MATURE MIND, by Harry Allen Overstreet.	4	22
""			
5	THE AUTOBIOGRAPHY OF WILL ROGERS, by Donald Day.	5	13
""			
6	MODERN ARMS AND FREE MEN, by Vannevar Bush.	6	7
""			
7	MY THREE YEARS IN MOSCOW, by Walter Bedell Smith.	--	1
""			
8	THE WATERS OF SILOE, by Thomas Merton.	7	17
""			
9	MR. JONES, MEET THE MASTER, by Peter Marshall.	12	3
""			
10	A GUIDE TO CONFIDENT LIVING, by Norman Vincent Peale.	8	68
""			
11	PEACE OF SOUL, by Fulton J. Sheen.	10	40
""			
12	HERE IS NEW YORK, by E.B. White.	--	1
""			
13	W.C. FIELDS, by Robert L. Taylor.	13	2
""			
14	THE SEVEN STOREY MOUNTAIN, by Thomas Merton.	15	59
""			
15	AMERICAN FREEDOM AND CATHOLIC POWER, by Paul Blanshard.	16	25
""			
16	ROOSEVELT AND THE RUSSIANS, by Edward R. Stettinius Jr.	--	2
