This	July 19, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	25
""			
2	BATTLE CRY, by Leon Uris.	2	10
""			
3	THE DARK ANGEL, by Mika Waltari.	3	5
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	11
""			
5	THE SILVER CHALICE, by Thomas B. Costain.	5	51
""			
6	THE EMPEROR'S LADY, by F.W. Kenyon.	7	5
""			
7	KINGFISHERS CATCH FIRE, by Rumer Godden.	6	6
""			
8	THE ECHOING GROVE, by Rosamond Lehmann.	9	8
""			
9	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	10	20
""			
10	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	8	17
""			
11	IN THE WET, by Nevil Shute.	15	8
""			
12	HOTEL TALLYRAND, by Paul Hyde Bonner.	11	13
""			
13	THE CAINE MUTINY, by Herman Wouk.	12	118
""			
14	NINE STORIES, by J.D. Salinger.	14	13
""			
15	ZORBA THE GREEK, by Nikos Kazantzakis.	13	9
""			
16	EAST OF EDEN, by John Steinbeck.	--	38
This	July 19, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	37
""			
2	ANNAPURNA, by Maurice Herzog.	2	26
""			
3	A HOUSE IS NOT A HOME, by Polly Adler.	6	5
""			
4	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	3	10
""			
5	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	5	22
""			
6	HOLY BIBLE: REVISED STANDARD VERSION.	4	40
""			
7	NORTH FROM MALAYA, by William O. Douglas.	8	5
""			
8	THE ROMMEL PAPERS, by B.H. Liddell Hart.	7	7
""			
9	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	10	13
""			
10	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	11	12
""			
11	A MAN CALLED PETER, by Catherine Marshall.	9	91
""			
12	LIFE AMONG THE SAVAGES, by Shirley Jackson.	16	2
""			
13	UNCLE POGO SO-SO STORIES, by Walt Kelly.	12	7
""			
14	THIS I BELIEVE, by Edward R. Murrow.	14	31
""			
15	CALL ME LUCKY, by Bing Crosby.	--	1
""			
16	ANGEL UNAWARE, by Dale Evans Rogers.	13	12
