This	February 19, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	ANDERSONVILLE, by MacKinlay Kantor. (Cleveland: World Publishing.)	1	16
""			
2	MARJORIE MORNINGSTAR, by Herman Wouk. (Doubleday and Company, Inc.)	2	23
""			
3	TEN NORTH FREDERICK, by John O'Hara. (Random House.)	3	11
""			
4	CASH McCALL, by Cameron Hawley. (Houghton and Mifflin.)	4	13
""			
5	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	6	49
""			
6	ISLAND IN THE SUN, by Alec Waugh. (Farrar Straus and Giroux.)	7	5
""			
7	BOON ISLAND, by Kenneth Roberts. (Doubleday and Company.)	5	5
""			
8	H.M.S. ULYSSES, by Alistair MacLean. (Collins Clear-Type Press.)	8	4
""			
9	AN EPISODE OF SPARROWS, by Rumer Godden. (Viking Press.)	10	10
""			
""	THE MAN IN THE GRAY FLANNEL SUIT, by Sloan Wilson. (Simon and		
10		11	30
""	Schuster.)		
""			
11	TENDER VICTORY, by Taylor Caldwell. (McGraw-Hill.)	12	4
""			
12	THE TONTINE, by Thomas B. Costain. (Doubleday.)	9	20
""			
13	ASPECTS OF LOVE, by David Garnett. (Harcourt Brace.)	--	1
""			
14	NO TIME FOR SERGEANTS, by Mac Hyman. (Random House, Inc.)	13	64
""			
15	NATIVE STONE, by Edwin Gilbert. (Doubleday and Company, Inc.)	--	1
""			
16	SOMETHING OF VALUE, by Robert Ruark. (Doubleday and Co.)	14	42
This	February 19, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	1	48
""			
2	A NIGHT TO REMEMBER, by Walter Lord. (Henry Holt and Company.)	2	11
""			
""	THE SEARCH FOR BRIDEY MURPHY, by Morey Bernstein. (Doubleday and		
3		4	5
""	Company.)		
""			
4	INSIDE AFRICA, by John Gunther. (Harper and Brothers.)	3	20
""			
5	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	7	5
""			
""	THE SCROLLS FROM THE DEAD SEA, by Edmund Wilson. (Oxford University		
6		6	15
""	Press.)		
""			
7	THE EDGE OF THE SEA, by Rachel Carson. (Houghton Mifflin.)	5	14
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
8		8	172
""	Inc.)		
""			
9	THE SECRET OF THE HITTITES, by C.W. Ceram. (Alfred A Knopf.)	11	4
""			
10	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	9	48
""			
11	LOVE OR PERISH, by Smiley Blanton. (Simon and Schuster.)	--	1
""			
12	HERBLOCK'S HERE AND NOW, by Herbert Block. (Simon and Schuster.)	12	8
""			
13	MEMOIRS, Vol. 1, by Harry S. Truman. (Doubleday and Co.)	10	14
""			
14	BUGLES AND A TIGER, by John Masters. (Viking Press.)	--	1
""			
15	THE FAMILY OF MAN, by Edward Steichen. (Museum of Modern Art.)	13	37
""			
16	ELOISE, by Kay Thompson and Hilary Knight. (Simon and Schuster.)	--	2
