This	June 7, 1959	Last	Weeks
Week	Fiction	Week	On List
""			
1	EXODUS, by Leon Uris. (Doubleday.)	1	35
""			
2	DOCTOR ZHIVAGO, by Boris Pasternak. (Random House Inc.)	2	37
""			
""	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick. (W.W. Norton		
""	and Company.)		
""			
""	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell. (Doubleday and		
4		4	10
""	Company.)		
""			
5	LADY CHATTERLY'S LOVER, by D.H. Lawrence. (Random House.)	5	4
""			
6	LOLITA, by Vladimir Nabokov. (G.P. Putnam's Sons.)	6	41
""			
7	MRS. ARRIS GOES TO PARIS, by Paul Gallico. (Doubleday and Company, Inc.)	7	24
""			
8	NINE COACHES WAITING, by Mary Stewart. (M.S. Mill/William Morrow.)	8	15
""			
9	CELIA GARTH, by Gwen Bristow. (Thomas Crowell Co.)	10	3
""			
10	THE CHINESE BOX, by Katherine Wigmore Eyre. (Appleton-Century-crofts, Inc.)	14	4
""			
11	THE HOURGLASS, by Edwin Gilbert. (J. B. Lippincott Company.)	15	6
""			
12	FROM THE TERRACE, by John O'Hara. (Random House.)	11	27
""			
13	THE CHARIOTEER, by Mary Renault. (Pantheon.)	--	1
""			
14	COMMAND THE MORNING, by Pearl S. Buck. (John Day Co.)	--	1
""			
""	THE WATCH THAT ENDS THE NIGHT, by Hugh MacLennan. (Charles Scribner's		
15		9	13
""	Sons.)		
""			
16	SPINSTER, by Sylvia Ashton-Warner. (Simon and Schuster.)	13	7
This	June 7, 1959	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MINE ENEMY GROWS OLDER, by Alexander King. (Simon and Schuster.)	1	17
""			
2	THE STATUS SEEKERS, by Vance Packard. (David McKay.)	3	4
""			
3	ONLY IN AMERICA, by Harry Lewis Golden. (World Publishing Co.)	2	45
""			
""	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE		
4		4	8
""	TIME, by William Nickerson. (Simon and Schuster.)		
""			
""	WHAT WE MUST KNOW ABOUT COMMUNISM, by Harry and Bonaro		
5		5	17
""	Overstreet. (W.W. Norton and Co, Inc.)		
""			
6	MY BROTHER WAS AN ONLY CHILD, by Jack Douglas. (E.P. Dutton and Co.)	8	7
""			
7	ELIZABETH THE GREAT, by Elizabeth Jenkins. (Coward McCann.)	6	12
""			
8	TWIXT TWELVE AND TWENTY, by Pat Boone. (Prentice-Hall, Inc.)	7	24
""			
9	FOLK MEDICINE, by Deforest Clinton Jarvis. (Henry Holt and Company, Inc.)	9	8
""			
10	COLLISION COURSE, by Alvin Moscow. (G.P. Putnam's Sons.)	10	10
""			
""	THE DRESS DOCTOR, by Edith Head and Jane Kesner Ardmore. (Little, Brown		
11		11	8
""	and Company.)		
""			
12	I REMEMBER, by Boris Pasternak. (Pantheon.)	16	7
""			
13	BROTHERHOOD OF EVIL, by Frederic Sondern. (Farrar, Straus, and Cudahy.)	12	12
""			
""	CHARLEY WEAVER'S LETTERS FROM MAMMA, by Cliff Arquette. (John C.		
14		15	3
""	Winston Company.)		
""			
15	THE HOUSE OF INTELLECT, by Jacques Barzun. (Harper and Brothers.)	--	1
""			
""	EAT WELL AND STAY WELL, by Ancel and Margaret Keys. (Doubleday and		
16		14	6
""	Company.)		
