This	September 6, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	32
""			
2	BATTLE CRY, by Leon Uris.	2	17
""			
3	BEYOND THIS PLACE, by A.J. Cronin.	3	6
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	18
""			
5	THE DARK ANGEL, by Mika Waltari.	5	12
""			
6	THE BRIDGES AT TOKO-RI, by James A. Michener.	6	6
""			
7	COME, MY BELOVED, by Pearl S. Buck.	11	2
""			
8	THE EMPEROR'S LADY, by F.W. Kenyon.	7	12
""			
9	TIME AND TIME AGAIN, by James Hilton.	--	1
""			
10	TOO LATE THE PHALAROPE, by Alan Paton.	--	1
""			
11	THE SILVER CHALICE, by Thomas B. Costain.	9	58
""			
12	THE VERMILLION GATE, by Lin Yutang.	--	4
""			
13	KINGFISHERS CATCH FIRE, by Rumer Godden.	8	13
""			
14	IN THE WET, by Nevil Shute.	16	14
""			
15	SATAN IN THE SUBURBS, by Bertrand Russell.	14	3
""			
16	THE DEEP SIX, by Martin Dibner.	--	1
This	September 6, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	44
""			
2	A HOUSE IS NOT A HOME, by Polly Adler.	2	12
""			
3	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	4	17
""			
4	A MAN CALLED PETER, by Catherine Marshall.	7	98
""			
5	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	5	29
""			
6	ANNAPURNA, by Maurice Herzog.	3	33
""			
7	CALL ME LUCKY, by Bing Crosby.	6	8
""			
8	HOLY BIBLE: REVISED STANDARD VERSION.	9	47
""			
9	THE ROMMEL PAPERS, by B.H. Liddell Hart.	13	14
""			
10	INDIA AND THE AWAKENING EAST, by Eleanor Roosevelt.	11	4
""			
11	NORTH FROM MALAYA, by William O. Douglas.	10	12
""			
12	HORN OF THE HUNTER, by Robert Ruark.	--	1
""			
13	PERIOD PIECE, by Gwen Raverat.	--	1
""			
14	ICEBOUND SUMMER, by Sally Carrighar.	--	1
""			
15	LIFE AMONG THE SAVAGES, by Shirley Jackson.	8	8
""			
16	UNCLE POGO SO-SO STORIES, by Walt Kelly.	15	14
