This	February 22, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	30
""			
2	EAST OF EDEN, by John Steinbeck.	2	21
""			
3	DESIREE, by Annemarie Selinko.	4	4
""			
4	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	3	13
""			
5	GIANT, by Edna Ferber.	5	20
""			
6	THE SOJOURNER, by Marjorie Kinnan Rawlings.	7	6
""			
7	THE CAINE MUTINY, by Herman Wouk.	6	97
""			
8	THE SECOND HAPPIEST DAY, by John Phillips.	14	2
""			
9	THE VELVET DOUBLET, by James Street.	8	5
""			
10	EXECUTIVE SUITE, by Cameron Hawley.	10	8
""			
11	THE GALILEANS, by Frank G. Slaughter.	11	4
""			
12	TO THE MOMENT OF TRIUMPH, by Pamela Frankau.	16	2
""			
13	LOVE FOR LYDIA, by H.E. Bates.	--	2
""			
14	THE OLD MAN AND THE SEA, by Ernest Hemingway.	12	24
""			
15	THE WONDERFUL COUNTRY, by Tom Lea.	9	13
""			
16	THE MAGIC LANTERN, by Robert Carson.	15	7
This	February 22, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	5	5
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	3	16
""			
3	THIS I BELIEVE, by Edward R. Murrow.	6	10
""			
4	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	4	5
""			
5	TALLULAH, by Tallulah Bankhead.	2	19
""			
6	HOLY BIBLE: REVISED STANDARD VERSION.	1	19
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	70
""			
8	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	--	1
""			
9	THE LAST RESORTS, by Cleveland Amory.	8	13
""			
10	ABRAHAM LINCOLN, by Benjamin P. Thomas.	9	13
""			
11	THE BIG CHANGE, by Frederick Lewis Allen.	10	14
""			
12	A MANY-SPLENDORED THING, by Han Suyin.	11	8
""			
13	REMEMBER THESE THINGS, by Paul Harvey.	--	1
""			
14	BEYOND THE HIMALAYAS, by William O. Douglas.	15	18
""			
15	HUNTER, by John A. Hunter.	--	7
""			
16	THE HERBLOCK BOOK, by Herbert Block.	--	15
