This	September 2, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	DON'T GO NEAR THE WATER, by William Brinkley. (Random House Inc.)	1	7
""			
2	THE LAST HURRAH, by Edwin O'Connor. (Little, Brown and Co.)	2	28
""			
3	THE MANDARINS, by Simone de Beauvoir. (World Publishing Co.)	3	13
""			
4	A SINGLE PEBBLE, by John Hersey. (Alfred A. Knopf.)	5	11
""			
5	A THING OF BEAUTY, by A.J. Cronin. (Little, Brown.)	4	13
""			
6	A CERTAIN SMILE, by Francoise Sagan. (E. P. Dutton and Company, Inc.)	12	3
""			
7	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	7	77
""			
8	THE NINTH WAVE, by Eugene Burdick. (Houghton Mifflin Company.)	11	11
""			
9	ANDERSONVILLE, by MacKinlay Kantor. (Cleveland: World Publishing.)	6	44
""			
10	CHARMED CIRCLE, by Susan Ertz. (Harper and Brothers.)	8	8
""			
11	IMPERIAL WOMAN, by Pearl S. Buck. (John Day Company.)	9	21
""			
12	THE STRAIGHT AND NARROW PATH, by Honor Tracy. (Random House.)	13	3
""			
13	AFTERNOON OF AN AUTOCRAT, by Norah Lofts. (Doubleday.)	16	5
""			
14	A FAMILY PARTY, by John O'Hara. (Random House.)	--	1
""			
15	THE ROSEMARY TREE, by Elizabeth Goudge. (Coward-McCann.)	10	12
""			
16	PEMMICAN, by Vardis Fisher. (Doubleday.)	15	4
This	September 2, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	EISENHOWER, by Robert J. Donovan. (Harper and Brothers.)	1	8
""			
2	ARTHRITIS AND COMMON SENSE, by Dale Alexander. (Witkower Press Inc.)	2	21
""			
3	GUESTWARD HO!, by Patrick Dennis and Barbara Hooton. (Vanguard Press.)	3	13
""			
4	LOVE OR PERISH, by Smiley Blanton. (Simon and Schuster.)	6	29
""			
5	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	4	33
""			
6	THE BIRTH OF BRITAIN, by Winston S. Churchill. (Dodd, Mead.)	5	19
""			
7	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	7	76
""			
""	ROOSEVELT: THE LION AND THE FOX, by James MacGregor Burns. (Harcourt,		
8		--	1
""	Brace and Company.)		
""			
9	THE MIND GOES FORTH, by H.A. Overstreet. (W.W. Norton and Co.)	11	5
""			
10	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	8	76
""			
11	YOUTH, by Frances Ilg, Arnold Gesell and Louise Ames. (Harper and Row.)	13	14
""			
12	NOBLESSE OBLIGE, by Nancy Mitford. (Harper and Brothers.)	12	3
""			
13	THE AGE OF FIGHTING SAIL, by C.S. Forester. (Doubleday.)	10	5
""			
14	MINORITY REPORT, by H.L. Mencken. (Alfred A. Knopf.)	9	13
""			
15	SONG OF AMERICA, by George M. Mardikian. (McGraw-Hill Book Company.)	--	4
""			
""	LADY SINGS THE BLUES, by Billie Holiday and William Dufty. (Doubleday and		
16		16	2
""	Company.)		
