This	May 16, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	17
""			
2	BLESS THIS HOUSE, by Norah Lofts.	2	6
""			
3	SAYONARA, by James A. Michener.	3	14
""			
4	AWAY ALL BOATS, by Kenneth Dodson.	4	9
""			
5	BHOWANI JUNCTION, by John Masters.	6	5
""			
6	THE NIGHT OF THE HUNTER, by Davis Grubb.	5	10
""			
7	LORD VANITY, by Samuel Shellabarger.	7	28
""			
8	THE SPIDER KING, by Lawrence Schoonover.	10	5
""			
9	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	8	54
""			
10	THE GIPSY IN THE PARLOUR, by Margery Sharp.	11	2
""			
11	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	--	1
""			
12	THE SONG OF RUTH, by Frank G. Slaughter.	12	2
""			
13	THE DOLLMAKER, by Harriette Arnow.	--	1
""			
14	TOMORROW!, by Philip Wylie.	13	15
""			
15	THE FEMALE, by Paul Wellman.	14	31
""			
16	THE DESPERATE HOURS, by Joseph Hayes.	9	7
This	May 16, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	80
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	11
""			
3	SECOND TREE FROM THE CORNER, by E.B. White.	3	15
""			
4	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	5	9
""			
5	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	7	8
""			
6	MINUTES OF THE LAST MEETING, by Gene Fowler.	6	4
""			
7	LIFE IS WORTH LIVING, by Fulton J. Sheen.	4	28
""			
8	THE CONQUEST OF EVEREST, by Sir John Hunt.	11	15
""			
9	SEVEN YEARS IN TIBET, by Heinrich Harrer.	10	9
""			
10	THE MAN WHO NEVER WAS, by Ewen Montagu.	9	13
""			
11	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	8	5
""			
12	THE TAFT STORY, by William S. White.	12	3
""			
13	FINAL SECRET OF PEARL HARBOR, by Rear Admiral Robert A. Theobald.	--	1
""			
14	FLYING SAUCERS HAVE LANDED, by Desmond Leslie and George Adamski.	16	9
""			
15	THE JOURNEY, by Lillian Smith.	--	1
""			
16	AMBASSADOR'S REPORT, by Chester Bowles.	14	17
