This	April 11, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	12
""			
2	SAYONARA, by James A. Michener.	2	9
""			
3	LORD VANITY, by Samuel Shellabarger.	3	23
""			
4	AWAY ALL BOATS, by Kenneth Dodson.	7	4
""			
5	THE NIGHT OF THE HUNTER, by Davis Grubb.	5	5
""			
6	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	49
""			
7	TOMORROW!, by Philip Wylie.	6	10
""			
8	BLESS THIS HOUSE, by Norah Lofts.	--	1
""			
9	THE FEMALE, by Paul Wellman.	14	26
""			
10	THE LADY OF ARLINGTON, by Harnett T. Kane.	9	26
""			
11	RAINBOW ON THE ROAD, by Esther Forbes.	8	8
""			
12	LOVE IS A BRIDGE, by Charles Bracelen Flood.	11	21
""			
13	THE DESPERATE HOURS, by Joseph Hayes.	10	2
""			
14	THE DEATH OF KINGS, by Charles Wertenbaker.	12	6
""			
15	BATTLE CRY, by Leon Uris.	15	48
""			
16	CRESS DELAHANTY, by Jessamyn West.	13	11
This	April 11, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	75
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	6
""			
3	SECOND TREE FROM THE CORNER, by E.B. White.	3	10
""			
4	THE CONQUEST OF EVEREST, by Sir John Hunt.	4	10
""			
5	LIFE IS WORTH LIVING, by Fulton J. Sheen.	5	23
""			
6	THE MAN WHO NEVER WAS, by Ewen Montagu.	6	8
""			
7	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	12	3
""			
8	SEVEN YEARS IN TIBET, by Heinrich Harrer.	7	4
""			
9	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	10	4
""			
10	AMBASSADOR'S REPORT, by Chester Bowles.	8	12
""			
11	FIRE IN THE ASHES, by Theodore Harold White.	9	19
""			
12	A MAN CALLED PETER, by Catherine Marshall.	11	129
""			
13	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	13	24
""			
14	FLYING SAUCERS HAVE LANDED, by Desmond Leslie and George Adamski.	--	5
""			
15	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	--	13
""			
16	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	--	25
