This	February 15, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	29
""			
2	EAST OF EDEN, by John Steinbeck.	2	20
""			
3	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	3	12
""			
4	DESIREE, by Annemarie Selinko.	7	3
""			
5	GIANT, by Edna Ferber.	4	19
""			
6	THE CAINE MUTINY, by Herman Wouk.	6	96
""			
7	THE SOJOURNER, by Marjorie Kinnan Rawlings.	5	5
""			
8	THE VELVET DOUBLET, by James Street.	8	4
""			
9	THE WONDERFUL COUNTRY, by Tom Lea.	9	12
""			
10	EXECUTIVE SUITE, by Cameron Hawley.	14	7
""			
11	THE GALILEANS, by Frank G. Slaughter.	15	3
""			
12	THE OLD MAN AND THE SEA, by Ernest Hemingway.	10	23
""			
13	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	16	25
""			
14	THE SECOND HAPPIEST DAY, by John Phillips.	--	1
""			
15	THE MAGIC LANTERN, by Robert Carson.	13	6
""			
16	TO THE MOMENT OF TRIUMPH, by Pamela Frankau.	--	1
This	February 15, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	HOLY BIBLE: REVISED STANDARD VERSION.	2	18
""			
2	TALLULAH, by Tallulah Bankhead.	1	18
""			
3	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	4	15
""			
4	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	3	4
""			
5	ANNAPURNA, by Maurice Herzog.	7	4
""			
6	THIS I BELIEVE, by Edward R. Murrow.	6	9
""			
7	A MAN CALLED PETER, by Catherine Marshall.	5	69
""			
8	THE LAST RESORTS, by Cleveland Amory.	8	12
""			
9	ABRAHAM LINCOLN, by Benjamin P. Thomas.	10	12
""			
10	THE BIG CHANGE, by Frederick Lewis Allen.	9	13
""			
11	A MANY-SPLENDORED THING, by Han Suyin.	11	7
""			
12	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	16	20
""			
13	PROUD KATE, by Kate Ross.	--	1
""			
14	MAN'S SEARCH FOR HIMSELF, by Rollo May.	--	2
""			
15	BEYOND THE HIMALAYAS, by William O. Douglas.	13	17
""			
16	HANDS ACROSS THE CAVIAR, by Charles Wheeler Thayer.	--	1
