This	January 11, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	EAST OF EDEN, by John Steinbeck.	2	15
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	1	24
""			
3	GIANT, by Edna Ferber.	4	14
""			
4	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	3	7
""			
5	THE CAINE MUTINY, by Herman Wouk.	5	91
""			
6	THE WONDERFUL COUNTRY, by Tom Lea.	6	7
""			
7	THE OLD MAN AND THE SEA, by Ernest Hemingway.	7	18
""			
8	SIRONIA, TEXAS, by Madison Cooper.	9	8
""			
9	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	8	20
""			
10	QUEEN'S GIFT, by Inglis Clark Fletcher.	10	10
""			
11	THE MAN ON A DONKEY, by H.F.M. Prescott.	12	10
""			
12	THE MAGIC LANTERN, by Robert Carson.	--	2
""			
13	EXECUTIVE SUITE, by Cameron Hawley.	11	2
""			
14	THE HOUSES IN BETWEEN, by Howard Spring.	16	35
""			
15	THE BOUNTY LANDS, by William Donohue Ellis.	13	3
""			
16	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	15	37
This	January 11, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	13
""			
2	A MAN CALLED PETER, by Catherine Marshall.	3	64
""			
3	HOLY BIBLE: REVISED STANDARD VERSION.	2	13
""			
4	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	5	10
""			
5	ABRAHAM LINCOLN, by Benjamin P. Thomas.	4	7
""			
6	THE LAST RESORTS, by Cleveland Amory.	6	7
""			
7	THE BIG CHANGE, by Frederick Lewis Allen.	7	8
""			
8	BEYOND THE HIMALAYAS, by William O. Douglas.	9	12
""			
9	THIS I BELIEVE, by Edward R. Murrow.	10	4
""			
10	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	8	15
""			
11	THE SEA AROUND US, by Rachel Carson.	11	78
""			
12	THE GREAT ENTERPRISE, by H.A. Overstreet.	--	19
""			
13	THE HERBLOCK BOOK, by Herbert Block.	12	11
""			
14	HUNTER, by John A. Hunter.	15	3
""			
15	LYING IN STATE, by Stanton Griffis.	--	1
""			
16	DIVIDED WE FOUGHT, by David Donald.	--	1
