This	June 3, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LAST HURRAH, by Edwin O'Connor. (Little, Brown and Co.)	1	15
""			
2	IMPERIAL WOMAN, by Pearl S. Buck. (John Day Company.)	2	8
""			
3	ANDERSONVILLE, by MacKinlay Kantor. (Cleveland: World Publishing.)	3	31
""			
4	LUCY CROWN, by Irwin Shaw. (Random House.)	4	9
""			
5	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	5	64
""			
6	TEN NORTH FREDERICK, by John O'Hara. (Random House.)	6	26
""			
7	THE QUIET AMERICAN, by Graham Greene. (Viking Press.)	7	11
""			
8	COMFORT ME WITH APPLES, by Peter De Vries. (Little, Brown and Company.)	10	3
""			
9	THE CROSS OF IRON, by Willi Heinrich. (Bobbs-Merrill.)	--	2
""			
10	WITH BOTH EYES OPEN, by Paul Hyde Bonner. (Charles Scribner's Sons.)	14	2
""			
11	CASH McCALL, by Cameron Hawley. (Houghton and Mifflin.)	15	28
""			
""	THE MAN IN THE GRAY FLANNEL SUIT, by Sloan Wilson. (Simon and		
12		8	45
""	Schuster.)		
""			
13	HARRY OF MONMOUTH, by A.M. Maughan. (William Sloane.)	13	8
""			
14	BELOVED, by Viña Delmar. (Harcourt, Brace and Company.)	--	5
""			
15	REMEMBER THE HOUSE, by Santha Rama Rau. (Harper.)	9	4
""			
16	ISLAND IN THE SUN, by Alec Waugh. (Farrar Straus and Giroux.)	12	20
This	June 3, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE BIRTH OF BRITAIN, by Winston S. Churchill. (Dodd, Mead.)	1	6
""			
""	THE SEARCH FOR BRIDEY MURPHY, by Morey Bernstein. (Doubleday and		
2		2	20
""	Company.)		
""			
3	ARTHRITIS AND COMMON SENSE, by Dale Alexander. (Witkower Press Inc.)	4	8
""			
4	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	3	63
""			
5	LOVE OR PERISH, by Smiley Blanton. (Simon and Schuster.)	7	16
""			
6	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	6	20
""			
7	A NIGHT TO REMEMBER, by Walter Lord. (Henry Holt and Company.)	5	26
""			
8	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	8	63
""			
9	ELOISE, by Kay Thompson and Hilary Knight. (Simon and Schuster.)	9	16
""			
10	OLYMPIO, by Andre Maurois. (Harper and Brothers.)	16	2
""			
""	THE SCROLLS FROM THE DEAD SEA, by Edmund Wilson. (Oxford University		
11		10	30
""	Press.)		
""			
12	BAY WINDOW BOHEMIA, by Oscar Lewis. (Doubleday.)	11	5
""			
13	GRAY FOX, by Burke Davis. (Rinehart.)	13	3
""			
14	SICKLES THE INCREDIBLE, by W.A. Swanberg. (Charles Scribner and Sons.)	--	2
""			
15	YOUTH, by Frances Ilg, Arnold Gesell and Louise Ames. (Harper and Row.)	--	1
""			
16	THE SECRET OF THE HITTITES, by C.W. Ceram. (Alfred A Knopf.)	12	19
