This	June 25, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CARDINAL, by Henry Morton Robinson.	1	12
""			
2	THE WALL, by John Hersey.	2	16
""			
3	STAR MONEY, by Kathleen Winsor.	3	9
""			
4	JUBILEE TRAIL, by Gwen Bristow.	4	18
""			
5	HOMEWARD BORNE, by Ruth Chatterton.	6	5
""			
6	THE EGYPTIAN, by Mika Waltari.	5	42
""			
7	THE PLYMOUTH ADVENTURE, by Ernest Gebler.	7	6
""			
8	THE CIRCLE OF THE DAY, by Helen Huntington Howe.	11	2
""			
9	SLEEP TILL NOON, by Max Shulman.	10	9
""			
10	THE BIZARRE SISTERS, by Jay Walz.	12	5
""			
11	THE OTHER FATHER, by Laura Z. Hobson.	9	4
""			
12	THE PINK HOUSE, by Nelia Gardner White.	15	13
""			
13	THE STUBBORN HEART, by Frank G. Slaughter.	--	1
""			
14	HIGH VALLEY, by Charmian Clift And George Johnston.	--	1
""			
15	WAIT FOR TOMORROW, by Robert Wilder.	8	11
""			
16	MAIN LINE, by Livingston Biddle.	--	3
This	June 25, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WORDS IN COLLISION, by Immanuel Velikovsky.	1	11
""			
2	THE MATURE MIND, by Harry Allen Overstreet.	2	44
""			
3	THE GRAND ALLIANCE, by Winston S. Churchill.	3	7
""			
4	ROOSEVELT IN RETROSPECT, by John Gunther.	8	2
""			
5	SEEDS OF TREASON, by Ralph de Toledano and Victor Lasky.	4	10
""			
6	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	7	15
""			
7	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	6	11
""			
8	COURTROOM, by Quentin Reynolds.	16	2
""			
9	THE COCKTAIL PARTY, by T.S. Eliot.	5	14
""			
10	THE ART OF REAL HAPPINESS, by Norman Vincent Peale and Smiley	9	13
""	Blanton.		
""			
11	MR. JONES, MEET THE MASTER, by Peter Marshall.	11	25
""			
12	I LEAP OVER THE WALL, by Monica Baldwin.	14	19
""			
13	OF MEN AND MOUNTAINS, by William O. Douglas.	--	4
""			
14	THE PEABODY SISTERS OF SALEM, by Louise Hall Tharp.	12	22
""			
15	DIANETICS, by L. Ron Hubbard.	10	2
""			
16	HOW I RAISED MYSELF FROM FAILURE TO SUCCESS IN SELLING, by	15	7
""	Frank Bettger.		
