This	February 24, 1952	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	45
""			
2	THE CRUEL SEA, by Nicholas Monsarrat.	2	28
""			
3	THE PRESIDENT'S LADY, by Irving Stone.	3	20
""			
4	THE END OF THE AFFAIR, by Graham Greene.	4	16
""			
5	SPARK OF LIFE, by Erich Maria Remarque.	6	2
""			
6	MELVILLE GOODWIN, USA, by John Marquand.	5	19
""			
7	MOSES, by Sholem Asch.	7	20
""			
8	MY COUSIN RACHEL, by Daphne du Maurier.	11	2
""			
9	FROM HERE TO ETERNITY, by James Jones.	8	51
""			
10	THE SWIMMING POOL, by Mary Roberts Rinehart.	9	3
""			
11	JEFFERSON SELLECK, by Carl Jonas.	10	3
""			
12	HIMALAYAN ASSIGNMENT, by Francis Van Wyck Mason.	--	1
""			
13	THE IRON MISTRESS, by Paul I. Wellman.	--	28
""			
14	MITTEE, by Daphne Rooke.	--	1
""			
15	THE DARK MOMENT, by Ann Bridge.	14	5
""			
16	WINDS OF MORNING, by Harold Lenoir Davis.	13	5
This	February 24, 1952	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE SEA AROUND US, by Rachel Carson.	1	32
""			
2	A MAN CALLED PETER, by Catherine Marshall.	3	18
""			
3	THE NEW YORKER 25th ANNIVERSARY ALBUM, by New Yorker Magazine.	2	17
""			
4	THE GREATEST BOOK EVER WRITTEN, by Fulton Oursler.	5	11
""			
5	SHOW BIZ, by Abel Green and Joe Laurie Jr.	4	13
""			
6	DANCE TO THE PIPER, by Agnes de Mille.	6	4
""			
7	CLOSING THE RING, by Winston S. Churchill.	7	12
""			
8	EISENHOWER, by John Gunther.	10	2
""			
9	STRANGE LANDS AND FRIENDLY PEOPLES, by William O. Douglas.	12	14
""			
10	THE FORRESTAL DIARIES, by Walter Millis and E.S. Duffield.	9	18
""			
11	GODS, GRAVES AND SCHOLARS, by C.W. Ceram.	8	13
""			
12	THE MEMOIRS OF HERBERT HOOVER, by Herbert Hoover.	13	16
""			
13	KON-TIKI, by Thor Heyerdahl.	11	76
""			
14	A FOREIGN POLICY FOR AMERICANS, by Robert A. Taft.	14	12
""			
15	THE CONFIDENT YEARS 1885-1915, by Van Wyck Brooks.	16	5
""			
16	WHILE YOU SLEPT, by John T. Flynn.	15	2
