This	June 1, 1958	Last	Weeks
Week	Fiction	Week	On List
""			
1	ANATOMY OF A MURDER, by Robert Traver. (St. Martin's.)	1	19
""			
2	ICE PALACE, by Edna Ferber. (Doubleday.)	3	10
""			
3	THE WINTHROP WOMAN, by Anya Seton. (Houghton Mifflin Company.)	2	13
""			
4	A SUMMER PLACE, by Sloan Wilson. (Simon and Schuster, Inc.)	4	6
""			
5	NORTH FROM ROME, by Helen MacInnes. (Houghton Mifflin Harcourt.)	5	13
""			
6	THE SERGEANT, by Dennis Murphy. (Viking.)	6	9
""			
7	THE GREENGAGE SUMMER, by Rumer Godden. (Viking.)	7	8
""			
8	THE MACKEREL PLAZA, by Peter De Vries. ( Little, Brown and Company.)	9	7
""			
9	RALLY ROUND THE FLAG BOYS!, by Max Schulman. (Doubleday.)	12	40
""			
10	THE TRAVELS OF JAIMIE McPHEETERS, by Robert Lewis Taylor. (Doubleday.)	11	6
""			
11	MAGGIE-NOW, by Betty Smith. (Harper and Brothers.)	14	14
""			
""	BY LOVE POSSESSED, by James Gould Cozzens. (Harcourt, Brace and		
12		10	39
""	Company.)		
""			
13	THE WHITE WITCH, by Elizabeth Goudge. (Coward-McCann, Inc.)	8	19
""			
14	EXILE AND THE KINGDOM, by Albert Camus. (Alfred A. Knopf.)	--	9
""			
15	THE MOUNTAIN ROAD, by Theodore H. White. (William Sloane Associates.)	--	1
""			
16	A DEATH IN THE FAMILY, by James Agee. (McDowell, Obolensky.)	--	11
This	June 1, 1958	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MASTERS OF DECEIT, by J. Edgar Hoover. (Henry Holt and Co.)	1	10
""			
2	INSIDE RUSSIA TODAY, by John Gunther. (Harper and Brothers.)	2	6
""			
3	PLEASE DON'T EAT THE DAISIES, by Jean Kerr. (Doubleday.)	3	25
""			
4	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	4	28
""			
5	DEAR ABBY, by Abigail Van Buren. (Prentice-Hall, Inc.)	7	3
""			
6	MADISON AVENUE, U.S.A., by Martin Mayer. (Harper and Brothers.)	5	10
""			
7	THE ORDEAL OF WOODROW WILSON, by Herbert Hoover. (McGraw-Hill.)	8	3
""			
""	THE GREAT DEMOCRACIES, by Winston S. Churchill. (Dodd, Mead and		
8		6	11
""	Company.)		
""			
""	"""WHERE DID YOU GO?"" ""OUT"" ""WHAT DID YOU DO?"" ""NOTHING."", by Robert"		
9		11	42
""	Paul Smith. (W.W. Norton and Company.)		
""			
""	HERB CAEN'S NEW GUIDE TO SAN FRANCISCO, by Herb Caen. (Doubleday		
10		15	2
""	and Company, Inc.)		
""			
11	LIFE PLUS 99 YEARS, by Nathan F. Leopold. (Doubleday and Company Inc.)	9	11
""			
12	TO LIVE AGAIN, by Catherine Marshall. (McGraw Hill.)	12	30
""			
13	BARUCH: MY OWN STORY, by Bernard M. Baruch. (Henry Holt and Company.)	10	39
""			
14	JOURNEY TO JAVA, by Harold George Nicolson. (Doubleday.)	--	1
""			
""	THE PRIVATE WORLD OF PABLO PICASSO, by David Douglas Duncan.		
15		16	5
""	(Harper and Brothers.)		
""			
""	THE FACE OF MINNESOTA, by John Szarkowski. (University of Minnesota		
16		--	1
""	Press.)		
