This	May 13, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	1	10
""			
2	JOY STREET, by Frances Parkinson Keyes.	2	23
""			
3	THE CAINE MUTINY, by Herman Wouk.	3	4
""			
4	PROUD NEW FLAGS, by F. Van Wyck Mason.	6	2
""			
5	THE DISENCHANTED, by Budd Schulberg.	4	28
""			
6	FESTIVAL, by J.B. Priestley.	5	4
""			
7	RETURN TO PARADISE, by James A. Michener.	15	2
""			
8	GOD'S MEN, by Pearl S. Buck.	11	3
""			
9	NEW YORK 22, by Ilka Chase.	8	7
""			
10	MORNING JOURNEY, by James Hilton.	7	10
""			
11	THE AGE OF LONGING, by Arthur Koestler.	9	9
""			
12	ROUND THE BEND, by Nevil Shute.	10	8
""			
13	THE LEFT HAND OF GOD, by William E. Barrett.	13	13
""			
14	OLD HERBACEOUS, by Reginald Arkell.	12	10
""			
15	JUDGEMENT ON DELTCHEV, by Eric Ambler.	--	1
""			
16	THE GRAND PORTAGE, by Walter O'Meara.	--	1
This	May 13, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	1	9
""			
2	A KING'S STORY, by Edward Windsor, Duke of Windsor.	4	3
""			
3	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.	3	8
""			
4	KON-TIKI, by Thor Heyerdahl.	2	35
""			
5	ROMMEL, THE DESERT FOX, by Desmond Young.	5	15
""			
6	OUT OF THIS WORLD, by Lowell Thomas Jr.	9	22
""			
7	THE RIDDLE OF MACARTHUR, by John Gunther.	8	10
""			
8	THE PEACE CAN BE WON, by Paul G. Hoffman.	--	1
""			
9	BETTER HOMES AND GARDENS GARDEN BOOK, by Fleeta Brownell	10	4
""	Woodroffe.		
""			
10	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	7	57
""			
11	MY SIX CONVICTS, by Donald Powell Wilson.	12	13
""			
12	MARY'S GARDEN STORY, by Mary Garden and Louis Biancolli.	--	1
""			
13	THE FAR SIDE OF PARADISE, by Arthur Mizener.	6	14
""			
14	WAR IN KOREA, by Marguerite Higgins.	16	2
""			
15	BOSWELL'S LONDON JOURNAL, by Frederick A. Pottle.	11	25
""			
16	THE FAT BOY'S BOOK, by Elmer Wheeler.	13	4
