This	May 17, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	16
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	42
""			
3	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	3	11
""			
4	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	4	8
""			
5	PRINCE BART, by Jay Richard Kennedy.	5	8
""			
6	HOTEL TALLYRAND, by Paul Hyde Bonner.	6	4
""			
7	EAST OF EDEN, by John Steinbeck.	8	33
""			
8	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	7	25
""			
9	THE CAINE MUTINY, by Herman Wouk.	9	109
""			
10	ZORBA THE GREEK, by Nikos Kazantzakis.	13	2
""			
11	CORPUS OF JOE BAILEY, by Oakley Hall.	10	3
""			
12	NINE STORIES, by J.D. Salinger.	12	4
""			
13	BATTLE CRY, by Leon Uris.	--	1
""			
14	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	14	2
""			
15	THE GREEN MAN, by Storm Jameson.	11	7
""			
16	FAR FROM CUSTOMARY SKIES, by Warren Eyster.	--	3
This	May 17, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	28
""			
2	ANNAPURNA, by Maurice Herzog.	1	17
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	13
""			
4	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	4	4
""			
5	HOLY BIBLE: REVISED STANDARD VERSION.	5	31
""			
6	THE WORLD AND THE WEST, by Arnold Toynbee.	6	6
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	82
""			
8	THIS I BELIEVE, by Edward R. Murrow.	8	22
""			
9	ANGEL UNAWARE, by Dale Evans Rogers.	12	3
""			
10	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	9	3
""			
11	POSTCARDS FROM DELAPLANE, by Stanton Delaplane.	15	5
""			
12	PRINCE OF PLAYERS, by Eleanor Ruggles.	11	9
""			
13	THE LEGENDARY MIZNERS, by Alva Johnston.	10	3
""			
14	ENCYCLOPEDIA OF AMERICAN HISTORY, by Richard B. Morris.	--	1
""			
15	THE COLDITZ STORY, by P.R. Reid.	--	3
""			
16	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	--	1
