This	February 21, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	5
""			
2	LORD VANITY, by Samuel Shellabarger.	2	16
""			
3	SAYONARA, by James A. Michener.	6	2
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	3	42
""			
5	THE LADY OF ARLINGTON, by Harnett T. Kane.	5	19
""			
6	BEYOND THIS PLACE, by A.J. Cronin.	4	30
""			
7	BATTLE CRY, by Leon Uris.	9	41
""			
8	TOMORROW!, by Philip Wylie.	8	3
""			
9	THE DOCTORS, by Andre Soubiran.	10	12
""			
10	THE FEMALE, by Paul Wellman.	7	19
""			
11	CRESS DELAHANTY, by Jessamyn West.	12	4
""			
12	LOVE IS A BRIDGE, by Charles Bracelen Flood.	13	14
""			
13	RAINBOW ON THE ROAD, by Esther Forbes.	--	1
""			
14	TIME AND TIME AGAIN, by James Hilton.	11	25
""			
15	THE ROBE, by Lloyd C. Douglas.	15	177
""			
16	THE SHADOWS OF THE IMAGES, by William E. Barrett.	--	12
This	February 21, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	68
""			
2	LIFE IS WORTH LIVING, by Fulton J. Sheen.	2	16
""			
3	SECOND TREE FROM THE CORNER, by E.B. White.	3	3
""			
4	THE CONQUEST OF EVEREST, by Sir John Hunt.	5	3
""			
5	FIRE IN THE ASHES, by Theodore Harold White.	9	12
""			
6	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	4	10
""			
7	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	6	17
""			
8	THE SECRET DIARY OF HAROLD L. ICKES, by Harold L. Ickes.	7	10
""			
9	AMBASSADOR'S REPORT, by Chester Bowles.	8	5
""			
10	THE MAN WHO NEVER WAS, by Ewen Montagu.	--	1
""			
11	LELIA, by Andre Maurois.	11	22
""			
12	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	10	21
""			
13	A MAN CALLED PETER, by Catherine Marshall.	12	122
""			
14	A STILLNESS AT APPOMATTOX, by Bruce Catton.	13	5
""			
15	MAMMY PLEASANT, by Helen Holdredge.	--	2
""			
16	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	--	12
